Fold 2 | Epoch 000 | Train Loss: 1.5743 | Val Loss: 1.5135 | Val Acc: 0.3628 | Val F1: 0.1931 | LR: 0.001000
Fold 2 | Epoch 001 | Train Loss: 1.5243 | Val Loss: 1.4399 | Val Acc: 0.3933 | Val F1: 0.2220 | LR: 0.001000
Fold 2 | Epoch 002 | Train Loss: 1.4843 | Val Loss: 1.4476 | Val Acc: 0.3933 | Val F1: 0.2220 | LR: 0.001000
Fold 2 | Epoch 003 | Train Loss: 1.5011 | Val Loss: 1.4685 | Val Acc: 0.3933 | Val F1: 0.2220 | LR: 0.001000
Fold 2 | Epoch 004 | Train Loss: 1.4804 | Val Loss: 1.4166 | Val Acc: 0.3836 | Val F1: 0.3302 | LR: 0.001000
Fold 2 | Epoch 005 | Train Loss: 1.4248 | Val Loss: 1.3767 | Val Acc: 0.3917 | Val F1: 0.2465 | LR: 0.001000
Fold 2 | Epoch 006 | Train Loss: 1.3909 | Val Loss: 1.3905 | Val Acc: 0.4013 | Val F1: 0.2648 | LR: 0.001000
Fold 2 | Epoch 007 | Train Loss: 1.3635 | Val Loss: 1.3948 | Val Acc: 0.4286 | Val F1: 0.2809 | LR: 0.001000
Fold 2 | Epoch 008 | Train Loss: 1.3555 | Val Loss: 1.3320 | Val Acc: 0.4318 | Val F1: 0.2834 | LR: 0.001000
Fold 2 | Epoch 009 | Train Loss: 1.3472 | Val Loss: 1.3605 | Val Acc: 0.3981 | Val F1: 0.2546 | LR: 0.001000
Fold 2 | Epoch 010 | Train Loss: 1.3409 | Val Loss: 1.3593 | Val Acc: 0.4318 | Val F1: 0.2834 | LR: 0.001000
Fold 2 | Epoch 011 | Train Loss: 1.3372 | Val Loss: 1.3299 | Val Acc: 0.4318 | Val F1: 0.2834 | LR: 0.001000
Fold 2 | Epoch 012 | Train Loss: 1.3277 | Val Loss: 1.3444 | Val Acc: 0.4318 | Val F1: 0.2834 | LR: 0.001000
Fold 2 | Epoch 013 | Train Loss: 1.3271 | Val Loss: 1.3515 | Val Acc: 0.4318 | Val F1: 0.2834 | LR: 0.001000
Fold 2 | Epoch 014 | Train Loss: 1.3294 | Val Loss: 1.3316 | Val Acc: 0.4286 | Val F1: 0.3901 | LR: 0.001000
Fold 2 | Epoch 015 | Train Loss: 1.3373 | Val Loss: 1.3314 | Val Acc: 0.4318 | Val F1: 0.2834 | LR: 0.001000
Fold 2 | Epoch 016 | Train Loss: 1.3259 | Val Loss: 1.3340 | Val Acc: 0.4029 | Val F1: 0.2621 | LR: 0.001000
Fold 2 | Epoch 017 | Train Loss: 1.3303 | Val Loss: 1.3257 | Val Acc: 0.4414 | Val F1: 0.4055 | LR: 0.001000
Fold 2 | Epoch 018 | Train Loss: 1.3162 | Val Loss: 1.3143 | Val Acc: 0.4318 | Val F1: 0.2834 | LR: 0.001000
Fold 2 | Epoch 019 | Train Loss: 1.3087 | Val Loss: 1.3307 | Val Acc: 0.4334 | Val F1: 0.2846 | LR: 0.000800
Fold 2 | Epoch 020 | Train Loss: 1.3128 | Val Loss: 1.3200 | Val Acc: 0.4302 | Val F1: 0.3895 | LR: 0.000800
Fold 2 | Epoch 021 | Train Loss: 1.3118 | Val Loss: 1.3161 | Val Acc: 0.4334 | Val F1: 0.3930 | LR: 0.000800
Fold 2 | Epoch 022 | Train Loss: 1.3071 | Val Loss: 1.3190 | Val Acc: 0.4334 | Val F1: 0.3902 | LR: 0.000800
Fold 2 | Epoch 023 | Train Loss: 1.3101 | Val Loss: 1.3331 | Val Acc: 0.4302 | Val F1: 0.2820 | LR: 0.000800
Fold 2 | Epoch 024 | Train Loss: 1.3019 | Val Loss: 1.3086 | Val Acc: 0.4398 | Val F1: 0.4088 | LR: 0.000800
Fold 2 | Epoch 025 | Train Loss: 1.3019 | Val Loss: 1.3216 | Val Acc: 0.4334 | Val F1: 0.2846 | LR: 0.000800
Fold 2 | Epoch 026 | Train Loss: 1.2992 | Val Loss: 1.3170 | Val Acc: 0.4254 | Val F1: 0.3266 | LR: 0.000800
Fold 2 | Epoch 027 | Train Loss: 1.3012 | Val Loss: 1.3242 | Val Acc: 0.4222 | Val F1: 0.3907 | LR: 0.000800
Fold 2 | Epoch 028 | Train Loss: 1.2837 | Val Loss: 1.3226 | Val Acc: 0.4205 | Val F1: 0.3889 | LR: 0.000800
Fold 2 | Epoch 029 | Train Loss: 1.2847 | Val Loss: 1.3360 | Val Acc: 0.4286 | Val F1: 0.3964 | LR: 0.000800
Fold 2 | Epoch 030 | Train Loss: 1.2885 | Val Loss: 1.3292 | Val Acc: 0.4205 | Val F1: 0.3882 | LR: 0.000800
Fold 2 | Epoch 031 | Train Loss: 1.2815 | Val Loss: 1.3447 | Val Acc: 0.4318 | Val F1: 0.4010 | LR: 0.000800
Fold 2 | Epoch 032 | Train Loss: 1.2879 | Val Loss: 1.3338 | Val Acc: 0.4318 | Val F1: 0.2828 | LR: 0.000800
Fold 2 | Epoch 033 | Train Loss: 1.2753 | Val Loss: 1.3214 | Val Acc: 0.4366 | Val F1: 0.3566 | LR: 0.000800
Fold 2 | Epoch 034 | Train Loss: 1.2805 | Val Loss: 1.3397 | Val Acc: 0.4318 | Val F1: 0.2834 | LR: 0.000800
Fold 2 | Epoch 035 | Train Loss: 1.2806 | Val Loss: 1.3393 | Val Acc: 0.4318 | Val F1: 0.3992 | LR: 0.000800
Fold 2 | Epoch 036 | Train Loss: 1.2825 | Val Loss: 1.3296 | Val Acc: 0.4270 | Val F1: 0.4027 | LR: 0.000800
Fold 2 | Epoch 037 | Train Loss: 1.2686 | Val Loss: 1.3303 | Val Acc: 0.4478 | Val F1: 0.4220 | LR: 0.000800
Fold 2 | Epoch 038 | Train Loss: 1.2740 | Val Loss: 1.3280 | Val Acc: 0.4270 | Val F1: 0.2814 | LR: 0.000800
Fold 2 | Epoch 039 | Train Loss: 1.2638 | Val Loss: 1.3347 | Val Acc: 0.4398 | Val F1: 0.4055 | LR: 0.000640
Fold 2 | Epoch 040 | Train Loss: 1.2659 | Val Loss: 1.3879 | Val Acc: 0.4205 | Val F1: 0.3920 | LR: 0.000640
Fold 2 | Epoch 041 | Train Loss: 1.2784 | Val Loss: 1.3353 | Val Acc: 0.4302 | Val F1: 0.2888 | LR: 0.000640
Fold 2 | Epoch 042 | Train Loss: 1.2568 | Val Loss: 1.3234 | Val Acc: 0.4382 | Val F1: 0.4143 | LR: 0.000640
Fold 2 | Epoch 043 | Train Loss: 1.2465 | Val Loss: 1.3283 | Val Acc: 0.4430 | Val F1: 0.4176 | LR: 0.000640
Fold 2 | Epoch 044 | Train Loss: 1.2562 | Val Loss: 1.3227 | Val Acc: 0.4494 | Val F1: 0.4261 | LR: 0.000640
Fold 2 | Epoch 045 | Train Loss: 1.2514 | Val Loss: 1.3441 | Val Acc: 0.4318 | Val F1: 0.4093 | LR: 0.000640
Fold 2 | Epoch 046 | Train Loss: 1.2442 | Val Loss: 1.3393 | Val Acc: 0.4350 | Val F1: 0.3030 | LR: 0.000640
Fold 2 | Epoch 047 | Train Loss: 1.2373 | Val Loss: 1.3320 | Val Acc: 0.4286 | Val F1: 0.4067 | LR: 0.000640
Fold 2 | Epoch 048 | Train Loss: 1.2384 | Val Loss: 1.3411 | Val Acc: 0.4302 | Val F1: 0.3064 | LR: 0.000640
Fold 2 | Epoch 049 | Train Loss: 1.2448 | Val Loss: 1.3428 | Val Acc: 0.4526 | Val F1: 0.4283 | LR: 0.000640
Fold 2 | Epoch 050 | Train Loss: 1.2397 | Val Loss: 1.3357 | Val Acc: 0.4478 | Val F1: 0.4233 | LR: 0.000640
Fold 2 | Epoch 051 | Train Loss: 1.2321 | Val Loss: 1.3304 | Val Acc: 0.4366 | Val F1: 0.4139 | LR: 0.000640
Fold 2 | Epoch 052 | Train Loss: 1.2416 | Val Loss: 1.3409 | Val Acc: 0.4478 | Val F1: 0.3386 | LR: 0.000640
Fold 2 | Epoch 053 | Train Loss: 1.2293 | Val Loss: 1.3256 | Val Acc: 0.4334 | Val F1: 0.4105 | LR: 0.000640
Fold 2 | Epoch 054 | Train Loss: 1.2378 | Val Loss: 1.3223 | Val Acc: 0.4446 | Val F1: 0.3784 | LR: 0.000640
Fold 2 | Epoch 055 | Train Loss: 1.2243 | Val Loss: 1.3223 | Val Acc: 0.4446 | Val F1: 0.4212 | LR: 0.000640
Fold 2 | Epoch 056 | Train Loss: 1.2364 | Val Loss: 1.3503 | Val Acc: 0.4607 | Val F1: 0.4201 | LR: 0.000640
Fold 2 | Epoch 057 | Train Loss: 1.2191 | Val Loss: 1.3569 | Val Acc: 0.4366 | Val F1: 0.3404 | LR: 0.000640
Fold 2 | Epoch 058 | Train Loss: 1.2138 | Val Loss: 1.3600 | Val Acc: 0.4366 | Val F1: 0.4168 | LR: 0.000640
Fold 2 | Epoch 059 | Train Loss: 1.2166 | Val Loss: 1.3322 | Val Acc: 0.4414 | Val F1: 0.4159 | LR: 0.000512
Fold 2 | Epoch 060 | Train Loss: 1.2094 | Val Loss: 1.3785 | Val Acc: 0.4398 | Val F1: 0.4167 | LR: 0.000512
Fold 2 | Epoch 061 | Train Loss: 1.2079 | Val Loss: 1.3320 | Val Acc: 0.4430 | Val F1: 0.3479 | LR: 0.000512
Fold 2 | Epoch 062 | Train Loss: 1.2088 | Val Loss: 1.3438 | Val Acc: 0.4366 | Val F1: 0.3729 | LR: 0.000512
Fold 2 | Epoch 063 | Train Loss: 1.2033 | Val Loss: 1.3852 | Val Acc: 0.4414 | Val F1: 0.3794 | LR: 0.000512
Fold 2 | Epoch 064 | Train Loss: 1.1902 | Val Loss: 1.3327 | Val Acc: 0.4526 | Val F1: 0.4309 | LR: 0.000512
Fold 2 | Epoch 065 | Train Loss: 1.2007 | Val Loss: 1.3781 | Val Acc: 0.4446 | Val F1: 0.4215 | LR: 0.000512
Fold 2 | Epoch 066 | Train Loss: 1.1791 | Val Loss: 1.4105 | Val Acc: 0.4478 | Val F1: 0.4287 | LR: 0.000512
Fold 2 | Epoch 067 | Train Loss: 1.2009 | Val Loss: 1.3693 | Val Acc: 0.4494 | Val F1: 0.4270 | LR: 0.000512
Fold 2 | Epoch 068 | Train Loss: 1.1937 | Val Loss: 1.3583 | Val Acc: 0.4462 | Val F1: 0.3348 | LR: 0.000512
Fold 2 | Epoch 069 | Train Loss: 1.1800 | Val Loss: 1.3497 | Val Acc: 0.4543 | Val F1: 0.3688 | LR: 0.000512
Fold 2 | Epoch 070 | Train Loss: 1.1937 | Val Loss: 1.4125 | Val Acc: 0.4446 | Val F1: 0.4132 | LR: 0.000512
Fold 2 | Epoch 071 | Train Loss: 1.1850 | Val Loss: 1.3391 | Val Acc: 0.4462 | Val F1: 0.4236 | LR: 0.000512
Fold 2 | Epoch 072 | Train Loss: 1.1684 | Val Loss: 1.4755 | Val Acc: 0.4446 | Val F1: 0.4231 | LR: 0.000512
Fold 2 | Epoch 073 | Train Loss: 1.1773 | Val Loss: 1.4034 | Val Acc: 0.4543 | Val F1: 0.3949 | LR: 0.000512
Fold 2 | Epoch 074 | Train Loss: 1.1716 | Val Loss: 1.3640 | Val Acc: 0.4430 | Val F1: 0.3930 | LR: 0.000512
Fold 2 | Epoch 075 | Train Loss: 1.1742 | Val Loss: 1.4250 | Val Acc: 0.4446 | Val F1: 0.4190 | LR: 0.000512
Fold 2 | Epoch 076 | Train Loss: 1.1688 | Val Loss: 1.3893 | Val Acc: 0.4543 | Val F1: 0.4117 | LR: 0.000512
