Fold 3 | Epoch 000 | Train Loss: 1.5888 | Val Loss: 1.4415 | Val Acc: 0.4210 | Val F1: 0.2494 | LR: 0.001000
Fold 3 | Epoch 001 | Train Loss: 1.5077 | Val Loss: 1.4258 | Val Acc: 0.4065 | Val F1: 0.2585 | LR: 0.001000
Fold 3 | Epoch 002 | Train Loss: 1.5157 | Val Loss: 1.4021 | Val Acc: 0.4677 | Val F1: 0.3210 | LR: 0.001000
Fold 3 | Epoch 003 | Train Loss: 1.4155 | Val Loss: 1.3573 | Val Acc: 0.4677 | Val F1: 0.3210 | LR: 0.001000
Fold 3 | Epoch 004 | Train Loss: 1.3633 | Val Loss: 1.3642 | Val Acc: 0.4016 | Val F1: 0.3478 | LR: 0.001000
Fold 3 | Epoch 005 | Train Loss: 1.3710 | Val Loss: 1.3284 | Val Acc: 0.4677 | Val F1: 0.3210 | LR: 0.001000
Fold 3 | Epoch 006 | Train Loss: 1.3518 | Val Loss: 1.3254 | Val Acc: 0.4419 | Val F1: 0.3797 | LR: 0.001000
Fold 3 | Epoch 007 | Train Loss: 1.3742 | Val Loss: 1.3656 | Val Acc: 0.4194 | Val F1: 0.3883 | LR: 0.001000
Fold 3 | Epoch 008 | Train Loss: 1.3538 | Val Loss: 1.3514 | Val Acc: 0.4581 | Val F1: 0.3379 | LR: 0.001000
Fold 3 | Epoch 009 | Train Loss: 1.3303 | Val Loss: 1.3389 | Val Acc: 0.4403 | Val F1: 0.3754 | LR: 0.001000
Fold 3 | Epoch 010 | Train Loss: 1.3319 | Val Loss: 1.3663 | Val Acc: 0.4661 | Val F1: 0.3820 | LR: 0.001000
Fold 3 | Epoch 011 | Train Loss: 1.3318 | Val Loss: 1.3566 | Val Acc: 0.4177 | Val F1: 0.3736 | LR: 0.001000
Fold 3 | Epoch 012 | Train Loss: 1.3289 | Val Loss: 1.3641 | Val Acc: 0.4452 | Val F1: 0.4094 | LR: 0.001000
Fold 3 | Epoch 013 | Train Loss: 1.3182 | Val Loss: 1.3566 | Val Acc: 0.4419 | Val F1: 0.3996 | LR: 0.001000
Fold 3 | Epoch 014 | Train Loss: 1.3121 | Val Loss: 1.3717 | Val Acc: 0.4452 | Val F1: 0.4142 | LR: 0.001000
Fold 3 | Epoch 015 | Train Loss: 1.3310 | Val Loss: 1.3364 | Val Acc: 0.4790 | Val F1: 0.4428 | LR: 0.001000
Fold 3 | Epoch 016 | Train Loss: 1.3112 | Val Loss: 1.3781 | Val Acc: 0.4677 | Val F1: 0.3210 | LR: 0.001000
Fold 3 | Epoch 017 | Train Loss: 1.3139 | Val Loss: 1.3348 | Val Acc: 0.4452 | Val F1: 0.4132 | LR: 0.001000
Fold 3 | Epoch 018 | Train Loss: 1.3163 | Val Loss: 1.3573 | Val Acc: 0.4581 | Val F1: 0.3782 | LR: 0.001000
Fold 3 | Epoch 019 | Train Loss: 1.2992 | Val Loss: 1.3677 | Val Acc: 0.4226 | Val F1: 0.3838 | LR: 0.000800
Fold 3 | Epoch 020 | Train Loss: 1.3057 | Val Loss: 1.4037 | Val Acc: 0.4677 | Val F1: 0.3210 | LR: 0.000800
Fold 3 | Epoch 021 | Train Loss: 1.2854 | Val Loss: 1.4490 | Val Acc: 0.4194 | Val F1: 0.3655 | LR: 0.000800
Fold 3 | Epoch 022 | Train Loss: 1.2983 | Val Loss: 1.4285 | Val Acc: 0.4516 | Val F1: 0.4191 | LR: 0.000800
Fold 3 | Epoch 023 | Train Loss: 1.2940 | Val Loss: 1.4352 | Val Acc: 0.4694 | Val F1: 0.3224 | LR: 0.000800
Fold 3 | Epoch 024 | Train Loss: 1.2928 | Val Loss: 1.4073 | Val Acc: 0.4484 | Val F1: 0.4102 | LR: 0.000800
Fold 3 | Epoch 025 | Train Loss: 1.2868 | Val Loss: 1.4180 | Val Acc: 0.4129 | Val F1: 0.3352 | LR: 0.000800
Fold 3 | Epoch 026 | Train Loss: 1.2879 | Val Loss: 1.3599 | Val Acc: 0.4710 | Val F1: 0.4320 | LR: 0.000800
Fold 3 | Epoch 027 | Train Loss: 1.2772 | Val Loss: 1.3740 | Val Acc: 0.4435 | Val F1: 0.4003 | LR: 0.000800
Fold 3 | Epoch 028 | Train Loss: 1.2772 | Val Loss: 1.4242 | Val Acc: 0.4613 | Val F1: 0.4264 | LR: 0.000800
Fold 3 | Epoch 029 | Train Loss: 1.2808 | Val Loss: 1.4289 | Val Acc: 0.4677 | Val F1: 0.3210 | LR: 0.000800
Fold 3 | Epoch 030 | Train Loss: 1.2873 | Val Loss: 1.3520 | Val Acc: 0.4435 | Val F1: 0.3727 | LR: 0.000800
Fold 3 | Epoch 031 | Train Loss: 1.2713 | Val Loss: 1.3561 | Val Acc: 0.4677 | Val F1: 0.3210 | LR: 0.000800
Fold 3 | Epoch 032 | Train Loss: 1.2721 | Val Loss: 1.3968 | Val Acc: 0.4613 | Val F1: 0.4286 | LR: 0.000800
Fold 3 | Epoch 033 | Train Loss: 1.2646 | Val Loss: 1.3289 | Val Acc: 0.4419 | Val F1: 0.4083 | LR: 0.000800
Fold 3 | Epoch 034 | Train Loss: 1.2609 | Val Loss: 1.3800 | Val Acc: 0.4629 | Val F1: 0.3622 | LR: 0.000800
Fold 3 | Epoch 035 | Train Loss: 1.2681 | Val Loss: 1.3548 | Val Acc: 0.4452 | Val F1: 0.4112 | LR: 0.000800
