Fold 4 | Epoch 000 | Train Loss: 1.5385 | Val Loss: 1.4687 | Val Acc: 0.3483 | Val F1: 0.1819 | LR: 0.000500
Fold 4 | Epoch 001 | Train Loss: 1.4725 | Val Loss: 1.3994 | Val Acc: 0.4254 | Val F1: 0.2832 | LR: 0.000500
Fold 4 | Epoch 002 | Train Loss: 1.4091 | Val Loss: 1.3370 | Val Acc: 0.4510 | Val F1: 0.3080 | LR: 0.000500
Fold 4 | Epoch 003 | Train Loss: 1.3721 | Val Loss: 1.3192 | Val Acc: 0.4510 | Val F1: 0.3080 | LR: 0.000500
Fold 4 | Epoch 004 | Train Loss: 1.3555 | Val Loss: 1.3213 | Val Acc: 0.4510 | Val F1: 0.3080 | LR: 0.000500
Fold 4 | Epoch 005 | Train Loss: 1.3199 | Val Loss: 1.3011 | Val Acc: 0.4238 | Val F1: 0.3635 | LR: 0.000500
Fold 4 | Epoch 006 | Train Loss: 1.3322 | Val Loss: 1.3013 | Val Acc: 0.4334 | Val F1: 0.3683 | LR: 0.000500
Fold 4 | Epoch 007 | Train Loss: 1.3219 | Val Loss: 1.3124 | Val Acc: 0.4141 | Val F1: 0.3597 | LR: 0.000500
Fold 4 | Epoch 008 | Train Loss: 1.3242 | Val Loss: 1.2973 | Val Acc: 0.4334 | Val F1: 0.3671 | LR: 0.000500
Fold 4 | Epoch 009 | Train Loss: 1.3189 | Val Loss: 1.3003 | Val Acc: 0.4334 | Val F1: 0.4061 | LR: 0.000500
Fold 4 | Epoch 010 | Train Loss: 1.3149 | Val Loss: 1.2877 | Val Acc: 0.4382 | Val F1: 0.4095 | LR: 0.000500
Fold 4 | Epoch 011 | Train Loss: 1.3079 | Val Loss: 1.2866 | Val Acc: 0.4254 | Val F1: 0.3986 | LR: 0.000500
Fold 4 | Epoch 012 | Train Loss: 1.3001 | Val Loss: 1.2824 | Val Acc: 0.4302 | Val F1: 0.3983 | LR: 0.000500
Fold 4 | Epoch 013 | Train Loss: 1.3044 | Val Loss: 1.2919 | Val Acc: 0.4125 | Val F1: 0.3847 | LR: 0.000500
Fold 4 | Epoch 014 | Train Loss: 1.3071 | Val Loss: 1.2839 | Val Acc: 0.4270 | Val F1: 0.4005 | LR: 0.000500
Fold 4 | Epoch 015 | Train Loss: 1.3011 | Val Loss: 1.2890 | Val Acc: 0.4222 | Val F1: 0.3850 | LR: 0.000500
Fold 4 | Epoch 016 | Train Loss: 1.3032 | Val Loss: 1.2951 | Val Acc: 0.4254 | Val F1: 0.3732 | LR: 0.000500
Fold 4 | Epoch 017 | Train Loss: 1.2961 | Val Loss: 1.2892 | Val Acc: 0.4350 | Val F1: 0.4080 | LR: 0.000500
Fold 4 | Epoch 018 | Train Loss: 1.2998 | Val Loss: 1.2991 | Val Acc: 0.4141 | Val F1: 0.3846 | LR: 0.000500
Fold 4 | Epoch 019 | Train Loss: 1.2962 | Val Loss: 1.2829 | Val Acc: 0.4238 | Val F1: 0.3932 | LR: 0.000400
Fold 4 | Epoch 020 | Train Loss: 1.2921 | Val Loss: 1.2904 | Val Acc: 0.4270 | Val F1: 0.4004 | LR: 0.000400
Fold 4 | Epoch 021 | Train Loss: 1.2856 | Val Loss: 1.2849 | Val Acc: 0.4478 | Val F1: 0.4171 | LR: 0.000400
Fold 4 | Epoch 022 | Train Loss: 1.2964 | Val Loss: 1.2849 | Val Acc: 0.4141 | Val F1: 0.3853 | LR: 0.000400
