Fold 1 | Epoch 000 | Train Loss: 1.5680 | Val Loss: 1.5685 | Val Acc: 0.3344 | Val F1: 0.1676 | LR: 0.000500
Fold 1 | Epoch 001 | Train Loss: 1.4904 | Val Loss: 1.5084 | Val Acc: 0.3746 | Val F1: 0.2042 | LR: 0.000500
Fold 1 | Epoch 002 | Train Loss: 1.4829 | Val Loss: 1.4854 | Val Acc: 0.3441 | Val F1: 0.2081 | LR: 0.000500
Fold 1 | Epoch 003 | Train Loss: 1.4583 | Val Loss: 1.4713 | Val Acc: 0.3344 | Val F1: 0.1754 | LR: 0.000500
Fold 1 | Epoch 004 | Train Loss: 1.4240 | Val Loss: 1.4410 | Val Acc: 0.4325 | Val F1: 0.3209 | LR: 0.000500
Fold 1 | Epoch 005 | Train Loss: 1.4251 | Val Loss: 1.4208 | Val Acc: 0.3939 | Val F1: 0.2554 | LR: 0.000500
Fold 1 | Epoch 006 | Train Loss: 1.3785 | Val Loss: 1.3823 | Val Acc: 0.4405 | Val F1: 0.3989 | LR: 0.000500
Fold 1 | Epoch 007 | Train Loss: 1.3539 | Val Loss: 1.3684 | Val Acc: 0.4212 | Val F1: 0.3896 | LR: 0.000500
Fold 1 | Epoch 008 | Train Loss: 1.3491 | Val Loss: 1.3619 | Val Acc: 0.4293 | Val F1: 0.3973 | LR: 0.000500
Fold 1 | Epoch 009 | Train Loss: 1.3424 | Val Loss: 1.3526 | Val Acc: 0.4486 | Val F1: 0.4120 | LR: 0.000500
Fold 1 | Epoch 010 | Train Loss: 1.3422 | Val Loss: 1.3483 | Val Acc: 0.4502 | Val F1: 0.3935 | LR: 0.000500
Fold 1 | Epoch 011 | Train Loss: 1.3378 | Val Loss: 1.3431 | Val Acc: 0.4582 | Val F1: 0.3734 | LR: 0.000500
Fold 1 | Epoch 012 | Train Loss: 1.3281 | Val Loss: 1.3563 | Val Acc: 0.4469 | Val F1: 0.4101 | LR: 0.000500
Fold 1 | Epoch 013 | Train Loss: 1.3306 | Val Loss: 1.3589 | Val Acc: 0.4277 | Val F1: 0.3836 | LR: 0.000500
Fold 1 | Epoch 014 | Train Loss: 1.3188 | Val Loss: 1.3372 | Val Acc: 0.4469 | Val F1: 0.3852 | LR: 0.000500
Fold 1 | Epoch 015 | Train Loss: 1.3248 | Val Loss: 1.3536 | Val Acc: 0.3939 | Val F1: 0.2554 | LR: 0.000500
Fold 1 | Epoch 016 | Train Loss: 1.3194 | Val Loss: 1.3641 | Val Acc: 0.3955 | Val F1: 0.2632 | LR: 0.000500
Fold 1 | Epoch 017 | Train Loss: 1.3232 | Val Loss: 1.3483 | Val Acc: 0.4309 | Val F1: 0.3840 | LR: 0.000500
Fold 1 | Epoch 018 | Train Loss: 1.3183 | Val Loss: 1.3559 | Val Acc: 0.4293 | Val F1: 0.3991 | LR: 0.000500
Fold 1 | Epoch 019 | Train Loss: 1.3179 | Val Loss: 1.3408 | Val Acc: 0.4309 | Val F1: 0.3817 | LR: 0.000400
Fold 1 | Epoch 020 | Train Loss: 1.3165 | Val Loss: 1.3389 | Val Acc: 0.4277 | Val F1: 0.3915 | LR: 0.000400
Fold 1 | Epoch 021 | Train Loss: 1.3231 | Val Loss: 1.3512 | Val Acc: 0.4309 | Val F1: 0.3816 | LR: 0.000400
Fold 1 | Epoch 022 | Train Loss: 1.3122 | Val Loss: 1.3403 | Val Acc: 0.4244 | Val F1: 0.3947 | LR: 0.000400
Fold 1 | Epoch 023 | Train Loss: 1.3012 | Val Loss: 1.3371 | Val Acc: 0.4228 | Val F1: 0.3670 | LR: 0.000400
Fold 1 | Epoch 024 | Train Loss: 1.2997 | Val Loss: 1.3422 | Val Acc: 0.4293 | Val F1: 0.3933 | LR: 0.000400
Fold 1 | Epoch 025 | Train Loss: 1.3154 | Val Loss: 1.3438 | Val Acc: 0.4293 | Val F1: 0.3925 | LR: 0.000400
Fold 1 | Epoch 026 | Train Loss: 1.3033 | Val Loss: 1.3348 | Val Acc: 0.4260 | Val F1: 0.3913 | LR: 0.000400
Fold 1 | Epoch 027 | Train Loss: 1.2986 | Val Loss: 1.3376 | Val Acc: 0.4325 | Val F1: 0.3918 | LR: 0.000400
Fold 1 | Epoch 028 | Train Loss: 1.3021 | Val Loss: 1.3489 | Val Acc: 0.4325 | Val F1: 0.3964 | LR: 0.000400
Fold 1 | Epoch 029 | Train Loss: 1.3092 | Val Loss: 1.3323 | Val Acc: 0.4293 | Val F1: 0.3855 | LR: 0.000400
Fold 1 | Epoch 030 | Train Loss: 1.2946 | Val Loss: 1.3412 | Val Acc: 0.4309 | Val F1: 0.3816 | LR: 0.000400
Fold 1 | Epoch 031 | Train Loss: 1.3047 | Val Loss: 1.3341 | Val Acc: 0.4502 | Val F1: 0.4151 | LR: 0.000400
