Epoch 00 | Train Loss: 0.9677 | Val Loss: 0.7595 | Val Acc: 0.5709 | Val F1: 0.5709
Epoch 01 | Train Loss: 0.7765 | Val Loss: 0.7143 | Val Acc: 0.6044 | Val F1: 0.6044
Epoch 02 | Train Loss: 0.7439 | Val Loss: 0.7251 | Val Acc: 0.6321 | Val F1: 0.6321
Epoch 03 | Train Loss: 0.7308 | Val Loss: 0.7041 | Val Acc: 0.5714 | Val F1: 0.5714
Epoch 04 | Train Loss: 0.7205 | Val Loss: 0.6924 | Val Acc: 0.6380 | Val F1: 0.6380
Epoch 05 | Train Loss: 0.7157 | Val Loss: 0.7016 | Val Acc: 0.5965 | Val F1: 0.5965
Epoch 06 | Train Loss: 0.7063 | Val Loss: 0.6772 | Val Acc: 0.6326 | Val F1: 0.6326
Epoch 07 | Train Loss: 0.6984 | Val Loss: 0.6646 | Val Acc: 0.6291 | Val F1: 0.6291
Epoch 08 | Train Loss: 0.6933 | Val Loss: 0.6737 | Val Acc: 0.6360 | Val F1: 0.6360
Epoch 09 | Train Loss: 0.6905 | Val Loss: 0.6668 | Val Acc: 0.5807 | Val F1: 0.5807
Epoch 10 | Train Loss: 0.6890 | Val Loss: 0.6816 | Val Acc: 0.6444 | Val F1: 0.6444
Epoch 11 | Train Loss: 0.6876 | Val Loss: 0.6533 | Val Acc: 0.6588 | Val F1: 0.6588
Epoch 12 | Train Loss: 0.6833 | Val Loss: 0.6545 | Val Acc: 0.6489 | Val F1: 0.6489
Epoch 13 | Train Loss: 0.6809 | Val Loss: 0.6570 | Val Acc: 0.6667 | Val F1: 0.6667
Epoch 14 | Train Loss: 0.6822 | Val Loss: 0.6397 | Val Acc: 0.6686 | Val F1: 0.6686
Epoch 15 | Train Loss: 0.6589 | Val Loss: 0.6037 | Val Acc: 0.6691 | Val F1: 0.6691
Epoch 16 | Train Loss: 0.6514 | Val Loss: 0.6040 | Val Acc: 0.6706 | Val F1: 0.6706
Epoch 17 | Train Loss: 0.6452 | Val Loss: 0.5978 | Val Acc: 0.6677 | Val F1: 0.6677
Epoch 18 | Train Loss: 0.6367 | Val Loss: 0.5969 | Val Acc: 0.6756 | Val F1: 0.6756
Epoch 19 | Train Loss: 0.6370 | Val Loss: 0.5883 | Val Acc: 0.6810 | Val F1: 0.6810
Epoch 20 | Train Loss: 0.6319 | Val Loss: 0.5879 | Val Acc: 0.6677 | Val F1: 0.6677
Epoch 21 | Train Loss: 0.6311 | Val Loss: 0.5886 | Val Acc: 0.6889 | Val F1: 0.6889
Epoch 22 | Train Loss: 0.6269 | Val Loss: 0.5788 | Val Acc: 0.6800 | Val F1: 0.6800
Epoch 23 | Train Loss: 0.6263 | Val Loss: 0.5863 | Val Acc: 0.6894 | Val F1: 0.6894
Epoch 24 | Train Loss: 0.6219 | Val Loss: 0.5822 | Val Acc: 0.6849 | Val F1: 0.6849
Epoch 25 | Train Loss: 0.6239 | Val Loss: 0.5723 | Val Acc: 0.7106 | Val F1: 0.7106
Epoch 26 | Train Loss: 0.6164 | Val Loss: 0.5751 | Val Acc: 0.7170 | Val F1: 0.7170
Epoch 27 | Train Loss: 0.6131 | Val Loss: 0.5677 | Val Acc: 0.6840 | Val F1: 0.6840
Epoch 28 | Train Loss: 0.6078 | Val Loss: 0.5695 | Val Acc: 0.7131 | Val F1: 0.7131
Epoch 29 | Train Loss: 0.6103 | Val Loss: 0.5730 | Val Acc: 0.7032 | Val F1: 0.7032
Epoch 30 | Train Loss: 0.6086 | Val Loss: 0.5712 | Val Acc: 0.6790 | Val F1: 0.6790
Epoch 31 | Train Loss: 0.6090 | Val Loss: 0.5681 | Val Acc: 0.7002 | Val F1: 0.7002
Epoch 32 | Train Loss: 0.6039 | Val Loss: 0.5740 | Val Acc: 0.7215 | Val F1: 0.7215
Epoch 33 | Train Loss: 0.6016 | Val Loss: 0.5596 | Val Acc: 0.7111 | Val F1: 0.7111
Epoch 34 | Train Loss: 0.6036 | Val Loss: 0.5586 | Val Acc: 0.6948 | Val F1: 0.6948
Epoch 35 | Train Loss: 0.5960 | Val Loss: 0.5607 | Val Acc: 0.7220 | Val F1: 0.7220
Epoch 36 | Train Loss: 0.5905 | Val Loss: 0.5612 | Val Acc: 0.7096 | Val F1: 0.7096
Epoch 37 | Train Loss: 0.5949 | Val Loss: 0.5634 | Val Acc: 0.6968 | Val F1: 0.6968
Epoch 38 | Train Loss: 0.5912 | Val Loss: 0.5519 | Val Acc: 0.7106 | Val F1: 0.7106
Epoch 39 | Train Loss: 0.5939 | Val Loss: 0.5477 | Val Acc: 0.7259 | Val F1: 0.7259
Epoch 40 | Train Loss: 0.5910 | Val Loss: 0.5447 | Val Acc: 0.7205 | Val F1: 0.7205
Epoch 41 | Train Loss: 0.5892 | Val Loss: 0.5504 | Val Acc: 0.7047 | Val F1: 0.7047
Epoch 42 | Train Loss: 0.5880 | Val Loss: 0.5492 | Val Acc: 0.7151 | Val F1: 0.7151
Epoch 43 | Train Loss: 0.5812 | Val Loss: 0.5460 | Val Acc: 0.6993 | Val F1: 0.6993
Epoch 44 | Train Loss: 0.5832 | Val Loss: 0.5472 | Val Acc: 0.7299 | Val F1: 0.7299
Epoch 45 | Train Loss: 0.5871 | Val Loss: 0.5412 | Val Acc: 0.7254 | Val F1: 0.7254
Epoch 46 | Train Loss: 0.5871 | Val Loss: 0.5427 | Val Acc: 0.7151 | Val F1: 0.7151
Epoch 47 | Train Loss: 0.5875 | Val Loss: 0.5373 | Val Acc: 0.7254 | Val F1: 0.7254
