Epoch 000 | Train Loss: 1.5896 | Val Loss: 1.3903 | Val Acc: 0.3597 | Val F1: 0.1904 | LR: 0.001000
Epoch 001 | Train Loss: 1.5075 | Val Loss: 1.4256 | Val Acc: 0.3597 | Val F1: 0.1904 | LR: 0.001000
Epoch 002 | Train Loss: 1.4615 | Val Loss: 1.3469 | Val Acc: 0.3597 | Val F1: 0.1904 | LR: 0.001000
Epoch 003 | Train Loss: 1.4056 | Val Loss: 1.2680 | Val Acc: 0.4154 | Val F1: 0.2732 | LR: 0.001000
Epoch 004 | Train Loss: 1.3556 | Val Loss: 1.2590 | Val Acc: 0.4668 | Val F1: 0.3241 | LR: 0.001000
Epoch 005 | Train Loss: 1.3759 | Val Loss: 1.2490 | Val Acc: 0.4668 | Val F1: 0.3241 | LR: 0.001000
Epoch 006 | Train Loss: 1.3392 | Val Loss: 1.2413 | Val Acc: 0.4433 | Val F1: 0.3896 | LR: 0.001000
Epoch 007 | Train Loss: 1.3330 | Val Loss: 1.2343 | Val Acc: 0.4668 | Val F1: 0.4330 | LR: 0.001000
Epoch 008 | Train Loss: 1.3222 | Val Loss: 1.2570 | Val Acc: 0.4475 | Val F1: 0.3587 | LR: 0.001000
Epoch 009 | Train Loss: 1.3414 | Val Loss: 1.2474 | Val Acc: 0.4475 | Val F1: 0.4143 | LR: 0.001000
Epoch 010 | Train Loss: 1.3554 | Val Loss: 1.2302 | Val Acc: 0.4540 | Val F1: 0.4285 | LR: 0.001000
Epoch 011 | Train Loss: 1.3333 | Val Loss: 1.2304 | Val Acc: 0.4561 | Val F1: 0.4078 | LR: 0.001000
Epoch 012 | Train Loss: 1.3199 | Val Loss: 1.2330 | Val Acc: 0.4668 | Val F1: 0.3241 | LR: 0.001000
Epoch 013 | Train Loss: 1.3269 | Val Loss: 1.2327 | Val Acc: 0.4497 | Val F1: 0.3645 | LR: 0.001000
Epoch 014 | Train Loss: 1.3265 | Val Loss: 1.2237 | Val Acc: 0.4368 | Val F1: 0.3904 | LR: 0.001000
Epoch 015 | Train Loss: 1.3614 | Val Loss: 1.2470 | Val Acc: 0.4540 | Val F1: 0.4290 | LR: 0.001000
Epoch 016 | Train Loss: 1.3136 | Val Loss: 1.2181 | Val Acc: 0.4668 | Val F1: 0.3241 | LR: 0.001000
Epoch 017 | Train Loss: 1.3188 | Val Loss: 1.2188 | Val Acc: 0.4540 | Val F1: 0.4283 | LR: 0.001000
Epoch 018 | Train Loss: 1.3073 | Val Loss: 1.2289 | Val Acc: 0.4818 | Val F1: 0.4554 | LR: 0.001000
Epoch 019 | Train Loss: 1.3049 | Val Loss: 1.2144 | Val Acc: 0.4475 | Val F1: 0.3630 | LR: 0.000800
Epoch 020 | Train Loss: 1.3050 | Val Loss: 1.2279 | Val Acc: 0.4668 | Val F1: 0.3241 | LR: 0.000800
Epoch 021 | Train Loss: 1.2886 | Val Loss: 1.2161 | Val Acc: 0.4518 | Val F1: 0.4212 | LR: 0.000800
Epoch 022 | Train Loss: 1.2931 | Val Loss: 1.2164 | Val Acc: 0.4668 | Val F1: 0.3241 | LR: 0.000800
Epoch 023 | Train Loss: 1.2915 | Val Loss: 1.2106 | Val Acc: 0.4775 | Val F1: 0.4442 | LR: 0.000800
Epoch 024 | Train Loss: 1.2873 | Val Loss: 1.2270 | Val Acc: 0.4433 | Val F1: 0.4234 | LR: 0.000800
Epoch 025 | Train Loss: 1.3117 | Val Loss: 1.2588 | Val Acc: 0.4347 | Val F1: 0.4165 | LR: 0.000800
Epoch 026 | Train Loss: 1.2796 | Val Loss: 1.2156 | Val Acc: 0.4668 | Val F1: 0.3241 | LR: 0.000800
Epoch 027 | Train Loss: 1.2731 | Val Loss: 1.2135 | Val Acc: 0.4325 | Val F1: 0.4113 | LR: 0.000800
Epoch 028 | Train Loss: 1.2732 | Val Loss: 1.2092 | Val Acc: 0.4433 | Val F1: 0.3666 | LR: 0.000800
Epoch 029 | Train Loss: 1.2694 | Val Loss: 1.2119 | Val Acc: 0.4411 | Val F1: 0.4071 | LR: 0.000800
Epoch 030 | Train Loss: 1.2623 | Val Loss: 1.2145 | Val Acc: 0.4561 | Val F1: 0.3211 | LR: 0.000800
Epoch 031 | Train Loss: 1.2629 | Val Loss: 1.2161 | Val Acc: 0.4497 | Val F1: 0.3603 | LR: 0.000800
Epoch 032 | Train Loss: 1.2867 | Val Loss: 1.2145 | Val Acc: 0.4283 | Val F1: 0.3977 | LR: 0.000800
Epoch 033 | Train Loss: 1.2710 | Val Loss: 1.2090 | Val Acc: 0.4518 | Val F1: 0.3242 | LR: 0.000800
Epoch 034 | Train Loss: 1.3035 | Val Loss: 1.2135 | Val Acc: 0.4475 | Val F1: 0.4087 | LR: 0.000800
Epoch 035 | Train Loss: 1.2683 | Val Loss: 1.2244 | Val Acc: 0.4390 | Val F1: 0.3643 | LR: 0.000800
Epoch 036 | Train Loss: 1.2693 | Val Loss: 1.2151 | Val Acc: 0.4304 | Val F1: 0.4010 | LR: 0.000800
Epoch 037 | Train Loss: 1.2518 | Val Loss: 1.2259 | Val Acc: 0.4647 | Val F1: 0.3240 | LR: 0.000800
Epoch 038 | Train Loss: 1.2652 | Val Loss: 1.2261 | Val Acc: 0.4647 | Val F1: 0.3236 | LR: 0.000800
