config_key,model_type,hidden_channels,num_layers,dropout,use_residual,batch_size,lr,mean_accuracy,std_accuracy,mean_f1,std_f1
config_13,sage,64,2,0.3,False,16,0.001,0.4421792251167875,0.01569792166416352,0.37470982699554806,0.03687909760273899
config_14,sage,64,2,0.3,True,16,0.001,0.44150819112480394,0.017344323044870213,0.37398322712567905,0.04921979601879787
config_15,sage,64,2,0.3,False,16,0.0005,0.4411980207360017,0.01761270160271104,0.3740362379375409,0.04457482580417923
config_07,sage,64,2,0.2,False,32,0.0005,0.4402199563156688,0.015495013061021645,0.3748777462125382,0.05072305438361696
config_04,sage,64,2,0.2,True,16,0.0005,0.43925687445371053,0.014476198481249728,0.37499412701109314,0.049867258504784455
config_12,sage,64,2,0.2,True,64,0.0005,0.4373327486501589,0.019465156476587413,0.34478086673571945,0.043580016159139964
config_11,sage,64,2,0.2,False,64,0.0005,0.437332257438682,0.014103430104952058,0.37059748827127886,0.05055818632965783
config_02,sage,64,2,0.2,True,16,0.001,0.43701793145372125,0.018846114710243653,0.3777502346845819,0.05301082445346583
config_18,sage,64,2,0.3,True,32,0.001,0.43701742863058823,0.014778013509789665,0.3570848140170752,0.05052212417882117
config_16,sage,64,2,0.3,True,16,0.0005,0.4366932962818192,0.015335339920899891,0.3580136732092241,0.056789369273592134
config_19,sage,64,2,0.3,False,32,0.0005,0.436375880219568,0.016817960598788054,0.3554811855688739,0.04495086730485039
config_08,sage,64,2,0.2,True,32,0.0005,0.43604968838135594,0.016316100526971297,0.3702151357880536,0.0488972263350115
config_06,sage,64,2,0.2,True,32,0.001,0.4357328133817268,0.015774161000852743,0.3500504423622291,0.041834275217695935
config_01,sage,64,2,0.2,False,16,0.001,0.4354112433455338,0.017207954235845542,0.3413049359736411,0.04837316036177102
config_09,sage,64,2,0.2,False,64,0.001,0.4354055792479589,0.014772226734704269,0.36301118949324607,0.04554160458216889
config_20,sage,64,2,0.3,True,32,0.0005,0.43476661478262785,0.01724036156224572,0.34735778450190147,0.04256098895644744
config_05,sage,64,2,0.2,False,32,0.001,0.43444144023435527,0.01805673204140159,0.3784778136443679,0.042678955014321236
config_10,sage,64,2,0.2,True,64,0.001,0.43412250399499663,0.015534637923183547,0.34856741651645756,0.05331688556743514
config_03,sage,64,2,0.2,False,16,0.0005,0.43347680997725746,0.015889048209371825,0.3720873442995276,0.04823671170050127
config_17,sage,64,2,0.3,False,32,0.001,0.43219478694525576,0.011564134899367987,0.3549818702750951,0.04831559373499593
