Fold 4 | Epoch 000 | Train Loss: 1.6555 | Val Loss: 1.4637 | Val Acc: 0.3884 | Val F1: 0.2173 | LR: 0.001000
Fold 4 | Epoch 001 | Train Loss: 1.5137 | Val Loss: 1.4595 | Val Acc: 0.3884 | Val F1: 0.2173 | LR: 0.001000
Fold 4 | Epoch 002 | Train Loss: 1.5121 | Val Loss: 1.4853 | Val Acc: 0.3884 | Val F1: 0.2173 | LR: 0.001000
Fold 4 | Epoch 003 | Train Loss: 1.5011 | Val Loss: 1.4464 | Val Acc: 0.3467 | Val F1: 0.1785 | LR: 0.001000
Fold 4 | Epoch 004 | Train Loss: 1.4918 | Val Loss: 1.4410 | Val Acc: 0.3467 | Val F1: 0.1785 | LR: 0.001000
Fold 4 | Epoch 005 | Train Loss: 1.4762 | Val Loss: 1.4225 | Val Acc: 0.3884 | Val F1: 0.2276 | LR: 0.001000
Fold 4 | Epoch 006 | Train Loss: 1.4346 | Val Loss: 1.3352 | Val Acc: 0.4510 | Val F1: 0.3080 | LR: 0.001000
Fold 4 | Epoch 007 | Train Loss: 1.3656 | Val Loss: 1.2905 | Val Acc: 0.4446 | Val F1: 0.3027 | LR: 0.001000
Fold 4 | Epoch 008 | Train Loss: 1.3592 | Val Loss: 1.2960 | Val Acc: 0.4494 | Val F1: 0.3066 | LR: 0.001000
Fold 4 | Epoch 009 | Train Loss: 1.3253 | Val Loss: 1.2827 | Val Acc: 0.4494 | Val F1: 0.3062 | LR: 0.001000
Fold 4 | Epoch 010 | Train Loss: 1.3290 | Val Loss: 1.2817 | Val Acc: 0.4125 | Val F1: 0.3536 | LR: 0.001000
Fold 4 | Epoch 011 | Train Loss: 1.3266 | Val Loss: 1.2733 | Val Acc: 0.4494 | Val F1: 0.3066 | LR: 0.001000
Fold 4 | Epoch 012 | Train Loss: 1.2991 | Val Loss: 1.2800 | Val Acc: 0.4575 | Val F1: 0.3349 | LR: 0.001000
Fold 4 | Epoch 013 | Train Loss: 1.3247 | Val Loss: 1.2789 | Val Acc: 0.4270 | Val F1: 0.4004 | LR: 0.001000
Fold 4 | Epoch 014 | Train Loss: 1.3077 | Val Loss: 1.2832 | Val Acc: 0.4543 | Val F1: 0.3104 | LR: 0.001000
Fold 4 | Epoch 015 | Train Loss: 1.3035 | Val Loss: 1.2935 | Val Acc: 0.4334 | Val F1: 0.3616 | LR: 0.001000
Fold 4 | Epoch 016 | Train Loss: 1.3013 | Val Loss: 1.2828 | Val Acc: 0.4398 | Val F1: 0.3833 | LR: 0.001000
Fold 4 | Epoch 017 | Train Loss: 1.3000 | Val Loss: 1.2659 | Val Acc: 0.4189 | Val F1: 0.3906 | LR: 0.001000
Fold 4 | Epoch 018 | Train Loss: 1.2894 | Val Loss: 1.2710 | Val Acc: 0.4093 | Val F1: 0.3801 | LR: 0.001000
Fold 4 | Epoch 019 | Train Loss: 1.3098 | Val Loss: 1.2909 | Val Acc: 0.4318 | Val F1: 0.4047 | LR: 0.000800
Fold 4 | Epoch 020 | Train Loss: 1.2865 | Val Loss: 1.2628 | Val Acc: 0.4286 | Val F1: 0.4009 | LR: 0.000800
Fold 4 | Epoch 021 | Train Loss: 1.2846 | Val Loss: 1.2592 | Val Acc: 0.4510 | Val F1: 0.3080 | LR: 0.000800
Fold 4 | Epoch 022 | Train Loss: 1.2793 | Val Loss: 1.2649 | Val Acc: 0.4109 | Val F1: 0.3412 | LR: 0.000800
Fold 4 | Epoch 023 | Train Loss: 1.2746 | Val Loss: 1.2632 | Val Acc: 0.4318 | Val F1: 0.4021 | LR: 0.000800
Fold 4 | Epoch 024 | Train Loss: 1.2765 | Val Loss: 1.2696 | Val Acc: 0.4189 | Val F1: 0.3887 | LR: 0.000800
Fold 4 | Epoch 025 | Train Loss: 1.2692 | Val Loss: 1.2972 | Val Acc: 0.4141 | Val F1: 0.3820 | LR: 0.000800
Fold 4 | Epoch 026 | Train Loss: 1.2691 | Val Loss: 1.2732 | Val Acc: 0.4350 | Val F1: 0.4080 | LR: 0.000800
Fold 4 | Epoch 027 | Train Loss: 1.2657 | Val Loss: 1.2785 | Val Acc: 0.4205 | Val F1: 0.3858 | LR: 0.000800
Fold 4 | Epoch 028 | Train Loss: 1.2687 | Val Loss: 1.2740 | Val Acc: 0.4189 | Val F1: 0.3819 | LR: 0.000800
Fold 4 | Epoch 029 | Train Loss: 1.2636 | Val Loss: 1.2647 | Val Acc: 0.4222 | Val F1: 0.3900 | LR: 0.000800
Fold 4 | Epoch 030 | Train Loss: 1.2570 | Val Loss: 1.2656 | Val Acc: 0.4302 | Val F1: 0.3998 | LR: 0.000800
Fold 4 | Epoch 031 | Train Loss: 1.2711 | Val Loss: 1.2705 | Val Acc: 0.4270 | Val F1: 0.3958 | LR: 0.000800
Fold 4 | Epoch 032 | Train Loss: 1.2496 | Val Loss: 1.3154 | Val Acc: 0.4141 | Val F1: 0.3808 | LR: 0.000800
