Fold 1 | Epoch 000 | Train Loss: 1.5473 | Val Loss: 1.5106 | Val Acc: 0.3746 | Val F1: 0.2042 | LR: 0.001000
Fold 1 | Epoch 001 | Train Loss: 1.4870 | Val Loss: 1.5314 | Val Acc: 0.3344 | Val F1: 0.1676 | LR: 0.001000
Fold 1 | Epoch 002 | Train Loss: 1.4807 | Val Loss: 1.5272 | Val Acc: 0.3923 | Val F1: 0.2955 | LR: 0.001000
Fold 1 | Epoch 003 | Train Loss: 1.4457 | Val Loss: 1.4218 | Val Acc: 0.4486 | Val F1: 0.3851 | LR: 0.001000
Fold 1 | Epoch 004 | Train Loss: 1.4344 | Val Loss: 1.4536 | Val Acc: 0.3907 | Val F1: 0.2520 | LR: 0.001000
Fold 1 | Epoch 005 | Train Loss: 1.4383 | Val Loss: 1.4174 | Val Acc: 0.4373 | Val F1: 0.3178 | LR: 0.001000
Fold 1 | Epoch 006 | Train Loss: 1.3796 | Val Loss: 1.4019 | Val Acc: 0.3939 | Val F1: 0.2554 | LR: 0.001000
Fold 1 | Epoch 007 | Train Loss: 1.3685 | Val Loss: 1.3521 | Val Acc: 0.3939 | Val F1: 0.2554 | LR: 0.001000
Fold 1 | Epoch 008 | Train Loss: 1.3759 | Val Loss: 1.4164 | Val Acc: 0.3939 | Val F1: 0.2554 | LR: 0.001000
Fold 1 | Epoch 009 | Train Loss: 1.3416 | Val Loss: 1.3361 | Val Acc: 0.4614 | Val F1: 0.3796 | LR: 0.001000
Fold 1 | Epoch 010 | Train Loss: 1.3528 | Val Loss: 1.3586 | Val Acc: 0.3939 | Val F1: 0.2554 | LR: 0.001000
Fold 1 | Epoch 011 | Train Loss: 1.3288 | Val Loss: 1.3430 | Val Acc: 0.3939 | Val F1: 0.2554 | LR: 0.001000
Fold 1 | Epoch 012 | Train Loss: 1.3187 | Val Loss: 1.3144 | Val Acc: 0.4518 | Val F1: 0.3884 | LR: 0.001000
Fold 1 | Epoch 013 | Train Loss: 1.3082 | Val Loss: 1.3020 | Val Acc: 0.4373 | Val F1: 0.4068 | LR: 0.001000
Fold 1 | Epoch 014 | Train Loss: 1.3302 | Val Loss: 1.3351 | Val Acc: 0.4534 | Val F1: 0.4201 | LR: 0.001000
Fold 1 | Epoch 015 | Train Loss: 1.3089 | Val Loss: 1.3032 | Val Acc: 0.4695 | Val F1: 0.4207 | LR: 0.001000
Fold 1 | Epoch 016 | Train Loss: 1.3018 | Val Loss: 1.3191 | Val Acc: 0.3939 | Val F1: 0.2554 | LR: 0.001000
Fold 1 | Epoch 017 | Train Loss: 1.3018 | Val Loss: 1.3038 | Val Acc: 0.3955 | Val F1: 0.2566 | LR: 0.001000
Fold 1 | Epoch 018 | Train Loss: 1.3169 | Val Loss: 1.3134 | Val Acc: 0.4518 | Val F1: 0.3884 | LR: 0.001000
Fold 1 | Epoch 019 | Train Loss: 1.3073 | Val Loss: 1.3221 | Val Acc: 0.4357 | Val F1: 0.4053 | LR: 0.000800
Fold 1 | Epoch 020 | Train Loss: 1.3070 | Val Loss: 1.3090 | Val Acc: 0.4341 | Val F1: 0.4049 | LR: 0.000800
Fold 1 | Epoch 021 | Train Loss: 1.2876 | Val Loss: 1.3026 | Val Acc: 0.4534 | Val F1: 0.3701 | LR: 0.000800
Fold 1 | Epoch 022 | Train Loss: 1.2908 | Val Loss: 1.3193 | Val Acc: 0.4341 | Val F1: 0.3269 | LR: 0.000800
Fold 1 | Epoch 023 | Train Loss: 1.3088 | Val Loss: 1.2952 | Val Acc: 0.4293 | Val F1: 0.3995 | LR: 0.000800
Fold 1 | Epoch 024 | Train Loss: 1.2872 | Val Loss: 1.2994 | Val Acc: 0.4405 | Val F1: 0.4088 | LR: 0.000800
Fold 1 | Epoch 025 | Train Loss: 1.2733 | Val Loss: 1.3150 | Val Acc: 0.4502 | Val F1: 0.3827 | LR: 0.000800
Fold 1 | Epoch 026 | Train Loss: 1.2859 | Val Loss: 1.3010 | Val Acc: 0.4293 | Val F1: 0.3911 | LR: 0.000800
Fold 1 | Epoch 027 | Train Loss: 1.2823 | Val Loss: 1.2831 | Val Acc: 0.4341 | Val F1: 0.3977 | LR: 0.000800
Fold 1 | Epoch 028 | Train Loss: 1.2755 | Val Loss: 1.3232 | Val Acc: 0.4502 | Val F1: 0.4137 | LR: 0.000800
Fold 1 | Epoch 029 | Train Loss: 1.2769 | Val Loss: 1.2947 | Val Acc: 0.4421 | Val F1: 0.4127 | LR: 0.000800
Fold 1 | Epoch 030 | Train Loss: 1.2794 | Val Loss: 1.2928 | Val Acc: 0.4598 | Val F1: 0.4230 | LR: 0.000800
Fold 1 | Epoch 031 | Train Loss: 1.2637 | Val Loss: 1.3139 | Val Acc: 0.4630 | Val F1: 0.4281 | LR: 0.000800
Fold 1 | Epoch 032 | Train Loss: 1.2716 | Val Loss: 1.2766 | Val Acc: 0.4646 | Val F1: 0.4259 | LR: 0.000800
Fold 1 | Epoch 033 | Train Loss: 1.2765 | Val Loss: 1.3044 | Val Acc: 0.4518 | Val F1: 0.4195 | LR: 0.000800
Fold 1 | Epoch 034 | Train Loss: 1.2526 | Val Loss: 1.2931 | Val Acc: 0.4759 | Val F1: 0.4350 | LR: 0.000800
Fold 1 | Epoch 035 | Train Loss: 1.2567 | Val Loss: 1.2878 | Val Acc: 0.4534 | Val F1: 0.4173 | LR: 0.000800
Fold 1 | Epoch 036 | Train Loss: 1.2655 | Val Loss: 1.3001 | Val Acc: 0.4646 | Val F1: 0.4272 | LR: 0.000800
Fold 1 | Epoch 037 | Train Loss: 1.2522 | Val Loss: 1.2961 | Val Acc: 0.4614 | Val F1: 0.4266 | LR: 0.000800
Fold 1 | Epoch 038 | Train Loss: 1.2615 | Val Loss: 1.2673 | Val Acc: 0.4598 | Val F1: 0.4261 | LR: 0.000800
Fold 1 | Epoch 039 | Train Loss: 1.2600 | Val Loss: 1.2964 | Val Acc: 0.4630 | Val F1: 0.4276 | LR: 0.000640
Fold 1 | Epoch 040 | Train Loss: 1.2431 | Val Loss: 1.2775 | Val Acc: 0.4614 | Val F1: 0.4250 | LR: 0.000640
Fold 1 | Epoch 041 | Train Loss: 1.2355 | Val Loss: 1.2891 | Val Acc: 0.4341 | Val F1: 0.4049 | LR: 0.000640
Fold 1 | Epoch 042 | Train Loss: 1.2454 | Val Loss: 1.2703 | Val Acc: 0.4566 | Val F1: 0.4233 | LR: 0.000640
Fold 1 | Epoch 043 | Train Loss: 1.2416 | Val Loss: 1.2821 | Val Acc: 0.4534 | Val F1: 0.4020 | LR: 0.000640
Fold 1 | Epoch 044 | Train Loss: 1.2353 | Val Loss: 1.2868 | Val Acc: 0.4469 | Val F1: 0.4139 | LR: 0.000640
Fold 1 | Epoch 045 | Train Loss: 1.2364 | Val Loss: 1.2792 | Val Acc: 0.4646 | Val F1: 0.4259 | LR: 0.000640
Fold 1 | Epoch 046 | Train Loss: 1.2375 | Val Loss: 1.2842 | Val Acc: 0.4630 | Val F1: 0.4321 | LR: 0.000640
Fold 1 | Epoch 047 | Train Loss: 1.2342 | Val Loss: 1.2858 | Val Acc: 0.4614 | Val F1: 0.4330 | LR: 0.000640
Fold 1 | Epoch 048 | Train Loss: 1.2385 | Val Loss: 1.2797 | Val Acc: 0.4534 | Val F1: 0.3946 | LR: 0.000640
Fold 1 | Epoch 049 | Train Loss: 1.2445 | Val Loss: 1.2763 | Val Acc: 0.4646 | Val F1: 0.4168 | LR: 0.000640
Fold 1 | Epoch 050 | Train Loss: 1.2287 | Val Loss: 1.2809 | Val Acc: 0.4807 | Val F1: 0.4345 | LR: 0.000640
Fold 1 | Epoch 051 | Train Loss: 1.2289 | Val Loss: 1.2768 | Val Acc: 0.4614 | Val F1: 0.4337 | LR: 0.000640
Fold 1 | Epoch 052 | Train Loss: 1.2170 | Val Loss: 1.2791 | Val Acc: 0.4646 | Val F1: 0.4326 | LR: 0.000640
Fold 1 | Epoch 053 | Train Loss: 1.2274 | Val Loss: 1.2861 | Val Acc: 0.4855 | Val F1: 0.4449 | LR: 0.000640
Fold 1 | Epoch 054 | Train Loss: 1.2339 | Val Loss: 1.2787 | Val Acc: 0.4759 | Val F1: 0.4427 | LR: 0.000640
Fold 1 | Epoch 055 | Train Loss: 1.2289 | Val Loss: 1.2793 | Val Acc: 0.4743 | Val F1: 0.4207 | LR: 0.000640
Fold 1 | Epoch 056 | Train Loss: 1.2225 | Val Loss: 1.2709 | Val Acc: 0.4727 | Val F1: 0.4427 | LR: 0.000640
