Fold 3 | Epoch 000 | Train Loss: 1.7390 | Val Loss: 1.5374 | Val Acc: 0.3306 | Val F1: 0.1643 | LR: 0.000500
Fold 3 | Epoch 001 | Train Loss: 1.5250 | Val Loss: 1.4790 | Val Acc: 0.3306 | Val F1: 0.1643 | LR: 0.000500
Fold 3 | Epoch 002 | Train Loss: 1.4899 | Val Loss: 1.4497 | Val Acc: 0.4210 | Val F1: 0.2494 | LR: 0.000500
Fold 3 | Epoch 003 | Train Loss: 1.4918 | Val Loss: 1.4380 | Val Acc: 0.4210 | Val F1: 0.2494 | LR: 0.000500
Fold 3 | Epoch 004 | Train Loss: 1.4825 | Val Loss: 1.4338 | Val Acc: 0.4210 | Val F1: 0.2494 | LR: 0.000500
Fold 3 | Epoch 005 | Train Loss: 1.4560 | Val Loss: 1.4039 | Val Acc: 0.4565 | Val F1: 0.3106 | LR: 0.000500
Fold 3 | Epoch 006 | Train Loss: 1.4295 | Val Loss: 1.3645 | Val Acc: 0.4677 | Val F1: 0.3210 | LR: 0.000500
Fold 3 | Epoch 007 | Train Loss: 1.3898 | Val Loss: 1.3467 | Val Acc: 0.4677 | Val F1: 0.3210 | LR: 0.000500
Fold 3 | Epoch 008 | Train Loss: 1.3698 | Val Loss: 1.3260 | Val Acc: 0.4677 | Val F1: 0.3210 | LR: 0.000500
Fold 3 | Epoch 009 | Train Loss: 1.3556 | Val Loss: 1.3148 | Val Acc: 0.4677 | Val F1: 0.3210 | LR: 0.000500
Fold 3 | Epoch 010 | Train Loss: 1.3456 | Val Loss: 1.3147 | Val Acc: 0.4677 | Val F1: 0.3210 | LR: 0.000500
Fold 3 | Epoch 011 | Train Loss: 1.3410 | Val Loss: 1.3302 | Val Acc: 0.4306 | Val F1: 0.3679 | LR: 0.000500
Fold 3 | Epoch 012 | Train Loss: 1.3364 | Val Loss: 1.3400 | Val Acc: 0.4306 | Val F1: 0.3679 | LR: 0.000500
Fold 3 | Epoch 013 | Train Loss: 1.3417 | Val Loss: 1.3251 | Val Acc: 0.4677 | Val F1: 0.3210 | LR: 0.000500
