Fold 2 | Epoch 000 | Train Loss: 1.6748 | Val Loss: 1.4627 | Val Acc: 0.3628 | Val F1: 0.1931 | LR: 0.000500
Fold 2 | Epoch 001 | Train Loss: 1.5264 | Val Loss: 1.4730 | Val Acc: 0.3628 | Val F1: 0.1931 | LR: 0.000500
Fold 2 | Epoch 002 | Train Loss: 1.5018 | Val Loss: 1.4766 | Val Acc: 0.3933 | Val F1: 0.2220 | LR: 0.000500
Fold 2 | Epoch 003 | Train Loss: 1.5020 | Val Loss: 1.4526 | Val Acc: 0.3933 | Val F1: 0.2220 | LR: 0.000500
Fold 2 | Epoch 004 | Train Loss: 1.4898 | Val Loss: 1.4235 | Val Acc: 0.3788 | Val F1: 0.3137 | LR: 0.000500
Fold 2 | Epoch 005 | Train Loss: 1.4548 | Val Loss: 1.3937 | Val Acc: 0.4109 | Val F1: 0.3010 | LR: 0.000500
Fold 2 | Epoch 006 | Train Loss: 1.4139 | Val Loss: 1.3733 | Val Acc: 0.4318 | Val F1: 0.2834 | LR: 0.000500
Fold 2 | Epoch 007 | Train Loss: 1.3881 | Val Loss: 1.3575 | Val Acc: 0.4318 | Val F1: 0.2834 | LR: 0.000500
Fold 2 | Epoch 008 | Train Loss: 1.3537 | Val Loss: 1.3485 | Val Acc: 0.4318 | Val F1: 0.2834 | LR: 0.000500
Fold 2 | Epoch 009 | Train Loss: 1.3565 | Val Loss: 1.3541 | Val Acc: 0.4318 | Val F1: 0.2834 | LR: 0.000500
Fold 2 | Epoch 010 | Train Loss: 1.3519 | Val Loss: 1.3441 | Val Acc: 0.4270 | Val F1: 0.3964 | LR: 0.000500
Fold 2 | Epoch 011 | Train Loss: 1.3410 | Val Loss: 1.3444 | Val Acc: 0.4222 | Val F1: 0.3852 | LR: 0.000500
Fold 2 | Epoch 012 | Train Loss: 1.3379 | Val Loss: 1.3372 | Val Acc: 0.4366 | Val F1: 0.3383 | LR: 0.000500
Fold 2 | Epoch 013 | Train Loss: 1.3325 | Val Loss: 1.3437 | Val Acc: 0.4318 | Val F1: 0.2834 | LR: 0.000500
Fold 2 | Epoch 014 | Train Loss: 1.3393 | Val Loss: 1.3449 | Val Acc: 0.4318 | Val F1: 0.2834 | LR: 0.000500
Fold 2 | Epoch 015 | Train Loss: 1.3271 | Val Loss: 1.3325 | Val Acc: 0.4382 | Val F1: 0.3995 | LR: 0.000500
Fold 2 | Epoch 016 | Train Loss: 1.3376 | Val Loss: 1.3446 | Val Acc: 0.4318 | Val F1: 0.2834 | LR: 0.000500
Fold 2 | Epoch 017 | Train Loss: 1.3412 | Val Loss: 1.3252 | Val Acc: 0.4222 | Val F1: 0.3923 | LR: 0.000500
Fold 2 | Epoch 018 | Train Loss: 1.3184 | Val Loss: 1.3285 | Val Acc: 0.4334 | Val F1: 0.3566 | LR: 0.000500
