Epoch 00 | Train Loss: 1.5324 | Val Loss: 1.4418 | Val Acc: 0.4111 | Val F1: 0.4111
Epoch 01 | Train Loss: 1.4925 | Val Loss: 1.3932 | Val Acc: 0.4111 | Val F1: 0.4111
Epoch 02 | Train Loss: 1.4855 | Val Loss: 1.4022 | Val Acc: 0.4111 | Val F1: 0.4111
Epoch 03 | Train Loss: 1.4787 | Val Loss: 1.3945 | Val Acc: 0.4111 | Val F1: 0.4111
Epoch 04 | Train Loss: 1.4743 | Val Loss: 1.3991 | Val Acc: 0.4111 | Val F1: 0.4111
Epoch 05 | Train Loss: 1.4787 | Val Loss: 1.4030 | Val Acc: 0.3940 | Val F1: 0.3940
Epoch 06 | Train Loss: 1.4660 | Val Loss: 1.3811 | Val Acc: 0.4111 | Val F1: 0.4111
Epoch 07 | Train Loss: 1.4646 | Val Loss: 1.3936 | Val Acc: 0.3940 | Val F1: 0.3940
Epoch 08 | Train Loss: 1.4584 | Val Loss: 1.4111 | Val Acc: 0.3876 | Val F1: 0.3876
Epoch 09 | Train Loss: 1.4516 | Val Loss: 1.3460 | Val Acc: 0.3919 | Val F1: 0.3919
Epoch 10 | Train Loss: 1.3938 | Val Loss: 1.2724 | Val Acc: 0.4411 | Val F1: 0.4411
Epoch 11 | Train Loss: 1.3662 | Val Loss: 1.2656 | Val Acc: 0.4475 | Val F1: 0.4475
Epoch 12 | Train Loss: 1.3377 | Val Loss: 1.2501 | Val Acc: 0.4411 | Val F1: 0.4411
Epoch 13 | Train Loss: 1.3390 | Val Loss: 1.2596 | Val Acc: 0.4454 | Val F1: 0.4454
Epoch 14 | Train Loss: 1.3322 | Val Loss: 1.2872 | Val Acc: 0.4325 | Val F1: 0.4325
Epoch 15 | Train Loss: 1.3276 | Val Loss: 1.2533 | Val Acc: 0.4433 | Val F1: 0.4433
Epoch 16 | Train Loss: 1.3344 | Val Loss: 1.2577 | Val Acc: 0.4497 | Val F1: 0.4497
Epoch 17 | Train Loss: 1.3200 | Val Loss: 1.3517 | Val Acc: 0.4454 | Val F1: 0.4454
Epoch 18 | Train Loss: 1.3277 | Val Loss: 1.2661 | Val Acc: 0.4625 | Val F1: 0.4625
Epoch 19 | Train Loss: 1.3182 | Val Loss: 1.2509 | Val Acc: 0.4540 | Val F1: 0.4540
Epoch 20 | Train Loss: 1.3109 | Val Loss: 1.2665 | Val Acc: 0.4454 | Val F1: 0.4454
Epoch 21 | Train Loss: 1.3240 | Val Loss: 1.2589 | Val Acc: 0.4304 | Val F1: 0.4304
Epoch 22 | Train Loss: 1.3102 | Val Loss: 1.2381 | Val Acc: 0.4625 | Val F1: 0.4625
Epoch 23 | Train Loss: 1.3173 | Val Loss: 1.2450 | Val Acc: 0.4604 | Val F1: 0.4604
Epoch 24 | Train Loss: 1.3112 | Val Loss: 1.2670 | Val Acc: 0.4325 | Val F1: 0.4325
Epoch 25 | Train Loss: 1.3134 | Val Loss: 1.2517 | Val Acc: 0.4368 | Val F1: 0.4368
Epoch 26 | Train Loss: 1.3130 | Val Loss: 1.2538 | Val Acc: 0.4325 | Val F1: 0.4325
Epoch 27 | Train Loss: 1.3060 | Val Loss: 1.2340 | Val Acc: 0.4540 | Val F1: 0.4540
Epoch 28 | Train Loss: 1.3013 | Val Loss: 1.2330 | Val Acc: 0.4582 | Val F1: 0.4582
Epoch 29 | Train Loss: 1.3077 | Val Loss: 1.2509 | Val Acc: 0.4283 | Val F1: 0.4283
Epoch 30 | Train Loss: 1.3050 | Val Loss: 1.2590 | Val Acc: 0.4411 | Val F1: 0.4411
Epoch 31 | Train Loss: 1.3130 | Val Loss: 1.2548 | Val Acc: 0.4518 | Val F1: 0.4518
Epoch 32 | Train Loss: 1.3048 | Val Loss: 1.2546 | Val Acc: 0.4625 | Val F1: 0.4625
Epoch 33 | Train Loss: 1.3024 | Val Loss: 1.2445 | Val Acc: 0.4690 | Val F1: 0.4690
Epoch 34 | Train Loss: 1.3054 | Val Loss: 1.2432 | Val Acc: 0.4668 | Val F1: 0.4668
Epoch 35 | Train Loss: 1.2942 | Val Loss: 1.2252 | Val Acc: 0.4582 | Val F1: 0.4582
Epoch 36 | Train Loss: 1.2993 | Val Loss: 1.2474 | Val Acc: 0.4240 | Val F1: 0.4240
Epoch 37 | Train Loss: 1.2832 | Val Loss: 1.2360 | Val Acc: 0.4540 | Val F1: 0.4540
Epoch 38 | Train Loss: 1.2982 | Val Loss: 1.2507 | Val Acc: 0.4304 | Val F1: 0.4304
Epoch 39 | Train Loss: 1.3525 | Val Loss: 1.4038 | Val Acc: 0.3640 | Val F1: 0.3640
Epoch 40 | Train Loss: 1.4311 | Val Loss: 1.3725 | Val Acc: 0.4026 | Val F1: 0.4026
Epoch 41 | Train Loss: 1.3868 | Val Loss: 1.3144 | Val Acc: 0.4026 | Val F1: 0.4026
Epoch 42 | Train Loss: 1.3295 | Val Loss: 1.2564 | Val Acc: 0.4325 | Val F1: 0.4325
Epoch 43 | Train Loss: 1.3030 | Val Loss: 1.2357 | Val Acc: 0.4561 | Val F1: 0.4561
Epoch 44 | Train Loss: 1.3029 | Val Loss: 1.2337 | Val Acc: 0.4154 | Val F1: 0.4154
Epoch 45 | Train Loss: 1.3078 | Val Loss: 1.2329 | Val Acc: 0.4433 | Val F1: 0.4433
Epoch 46 | Train Loss: 1.3063 | Val Loss: 1.2322 | Val Acc: 0.4540 | Val F1: 0.4540
Epoch 47 | Train Loss: 1.2971 | Val Loss: 1.2259 | Val Acc: 0.4368 | Val F1: 0.4368
Epoch 48 | Train Loss: 1.2956 | Val Loss: 1.2440 | Val Acc: 0.4411 | Val F1: 0.4411
