Epoch 00 | Train Loss: 1.5781 | Val Loss: 1.5030 | Val Acc: 0.3597 | Val F1: 0.3597 | LR: 0.000950
Epoch 01 | Train Loss: 1.4877 | Val Loss: 1.3472 | Val Acc: 0.3597 | Val F1: 0.3597 | LR: 0.000902
Epoch 02 | Train Loss: 1.4567 | Val Loss: 1.3503 | Val Acc: 0.4647 | Val F1: 0.4647 | LR: 0.000857
Epoch 03 | Train Loss: 1.3971 | Val Loss: 1.3185 | Val Acc: 0.4668 | Val F1: 0.4668 | LR: 0.000815
Epoch 04 | Train Loss: 1.3623 | Val Loss: 1.2434 | Val Acc: 0.4411 | Val F1: 0.4411 | LR: 0.000774
Epoch 05 | Train Loss: 1.3596 | Val Loss: 1.2484 | Val Acc: 0.4668 | Val F1: 0.4668 | LR: 0.000735
Epoch 06 | Train Loss: 1.3414 | Val Loss: 1.2699 | Val Acc: 0.4668 | Val F1: 0.4668 | LR: 0.000698
Epoch 07 | Train Loss: 1.3764 | Val Loss: 1.3207 | Val Acc: 0.4647 | Val F1: 0.4647 | LR: 0.000663
Epoch 08 | Train Loss: 1.3617 | Val Loss: 1.2999 | Val Acc: 0.4668 | Val F1: 0.4668 | LR: 0.000630
Epoch 09 | Train Loss: 1.3371 | Val Loss: 1.2230 | Val Acc: 0.4475 | Val F1: 0.4475 | LR: 0.000599
Epoch 10 | Train Loss: 1.3267 | Val Loss: 1.2274 | Val Acc: 0.4668 | Val F1: 0.4668 | LR: 0.000569
Epoch 11 | Train Loss: 1.3322 | Val Loss: 1.2233 | Val Acc: 0.4668 | Val F1: 0.4668 | LR: 0.000540
Epoch 12 | Train Loss: 1.3229 | Val Loss: 1.2093 | Val Acc: 0.4518 | Val F1: 0.4518 | LR: 0.000513
Epoch 13 | Train Loss: 1.3118 | Val Loss: 1.2416 | Val Acc: 0.4668 | Val F1: 0.4668 | LR: 0.000488
Epoch 14 | Train Loss: 1.3107 | Val Loss: 1.2141 | Val Acc: 0.4454 | Val F1: 0.4454 | LR: 0.000463
Epoch 15 | Train Loss: 1.2991 | Val Loss: 1.2148 | Val Acc: 0.4454 | Val F1: 0.4454 | LR: 0.000440
Epoch 16 | Train Loss: 1.3009 | Val Loss: 1.2338 | Val Acc: 0.4732 | Val F1: 0.4732 | LR: 0.000418
Epoch 17 | Train Loss: 1.3234 | Val Loss: 1.2630 | Val Acc: 0.4668 | Val F1: 0.4668 | LR: 0.000397
Epoch 18 | Train Loss: 1.3124 | Val Loss: 1.2534 | Val Acc: 0.4433 | Val F1: 0.4433 | LR: 0.000377
Epoch 19 | Train Loss: 1.3079 | Val Loss: 1.2315 | Val Acc: 0.4690 | Val F1: 0.4690 | LR: 0.000358
Epoch 20 | Train Loss: 1.2988 | Val Loss: 1.2477 | Val Acc: 0.4497 | Val F1: 0.4497 | LR: 0.000341
Epoch 21 | Train Loss: 1.3005 | Val Loss: 1.2463 | Val Acc: 0.4668 | Val F1: 0.4668 | LR: 0.000324
Epoch 22 | Train Loss: 1.2935 | Val Loss: 1.2181 | Val Acc: 0.4540 | Val F1: 0.4540 | LR: 0.000307
Epoch 23 | Train Loss: 1.2951 | Val Loss: 1.2462 | Val Acc: 0.4454 | Val F1: 0.4454 | LR: 0.000292
Epoch 24 | Train Loss: 1.3009 | Val Loss: 1.2259 | Val Acc: 0.4540 | Val F1: 0.4540 | LR: 0.000277
Epoch 25 | Train Loss: 1.2902 | Val Loss: 1.2254 | Val Acc: 0.4582 | Val F1: 0.4582 | LR: 0.000264
Epoch 26 | Train Loss: 1.2789 | Val Loss: 1.2417 | Val Acc: 0.4690 | Val F1: 0.4690 | LR: 0.000250
Epoch 27 | Train Loss: 1.2710 | Val Loss: 1.2291 | Val Acc: 0.4711 | Val F1: 0.4711 | LR: 0.000238
Epoch 28 | Train Loss: 1.2903 | Val Loss: 1.2206 | Val Acc: 0.4732 | Val F1: 0.4732 | LR: 0.000226
Epoch 29 | Train Loss: 1.2982 | Val Loss: 1.2199 | Val Acc: 0.4497 | Val F1: 0.4497 | LR: 0.000215
Epoch 30 | Train Loss: 1.2766 | Val Loss: 1.2191 | Val Acc: 0.4540 | Val F1: 0.4540 | LR: 0.000204
Epoch 31 | Train Loss: 1.2900 | Val Loss: 1.2434 | Val Acc: 0.4775 | Val F1: 0.4775 | LR: 0.000194
Epoch 32 | Train Loss: 1.2852 | Val Loss: 1.2250 | Val Acc: 0.4711 | Val F1: 0.4711 | LR: 0.000184
Epoch 33 | Train Loss: 1.3081 | Val Loss: 1.2134 | Val Acc: 0.4754 | Val F1: 0.4754 | LR: 0.000175
Epoch 34 | Train Loss: 1.2847 | Val Loss: 1.2354 | Val Acc: 0.4754 | Val F1: 0.4754 | LR: 0.000166
Epoch 35 | Train Loss: 1.2752 | Val Loss: 1.2258 | Val Acc: 0.4475 | Val F1: 0.4475 | LR: 0.000158
Epoch 36 | Train Loss: 1.3031 | Val Loss: 1.2297 | Val Acc: 0.4754 | Val F1: 0.4754 | LR: 0.000150
Epoch 37 | Train Loss: 1.2740 | Val Loss: 1.2324 | Val Acc: 0.4668 | Val F1: 0.4668 | LR: 0.000142
Epoch 38 | Train Loss: 1.2712 | Val Loss: 1.2174 | Val Acc: 0.4647 | Val F1: 0.4647 | LR: 0.000135
Epoch 39 | Train Loss: 1.2969 | Val Loss: 1.2253 | Val Acc: 0.4904 | Val F1: 0.4904 | LR: 0.000129
Epoch 40 | Train Loss: 1.2687 | Val Loss: 1.2193 | Val Acc: 0.4818 | Val F1: 0.4818 | LR: 0.000122
Epoch 41 | Train Loss: 1.2723 | Val Loss: 1.2227 | Val Acc: 0.4454 | Val F1: 0.4454 | LR: 0.000116
Epoch 42 | Train Loss: 1.2740 | Val Loss: 1.2175 | Val Acc: 0.4604 | Val F1: 0.4604 | LR: 0.000110
Epoch 43 | Train Loss: 1.2903 | Val Loss: 1.2232 | Val Acc: 0.4604 | Val F1: 0.4604 | LR: 0.000105
Epoch 44 | Train Loss: 1.2908 | Val Loss: 1.2271 | Val Acc: 0.4561 | Val F1: 0.4561 | LR: 0.000099
Epoch 45 | Train Loss: 1.2727 | Val Loss: 1.2354 | Val Acc: 0.4582 | Val F1: 0.4582 | LR: 0.000094
Epoch 46 | Train Loss: 1.2524 | Val Loss: 1.2218 | Val Acc: 0.4647 | Val F1: 0.4647 | LR: 0.000090
Epoch 47 | Train Loss: 1.2931 | Val Loss: 1.2287 | Val Acc: 0.4711 | Val F1: 0.4711 | LR: 0.000085
Epoch 48 | Train Loss: 1.2611 | Val Loss: 1.2192 | Val Acc: 0.4604 | Val F1: 0.4604 | LR: 0.000081
Epoch 49 | Train Loss: 1.2676 | Val Loss: 1.2295 | Val Acc: 0.4475 | Val F1: 0.4475 | LR: 0.000077
