Epoch 00 | Train Loss: 1.5690 | Val Loss: 1.4804 | Val Acc: 0.4111 | Val F1: 0.4111 | LR: 0.000950
Epoch 01 | Train Loss: 1.5324 | Val Loss: 1.5284 | Val Acc: 0.4111 | Val F1: 0.4111 | LR: 0.000902
Epoch 02 | Train Loss: 1.4878 | Val Loss: 1.4229 | Val Acc: 0.3919 | Val F1: 0.3919 | LR: 0.000857
Epoch 03 | Train Loss: 1.4648 | Val Loss: 1.4103 | Val Acc: 0.3597 | Val F1: 0.3597 | LR: 0.000815
Epoch 04 | Train Loss: 1.4571 | Val Loss: 1.4371 | Val Acc: 0.4176 | Val F1: 0.4176 | LR: 0.000774
Epoch 05 | Train Loss: 1.3797 | Val Loss: 1.3647 | Val Acc: 0.4154 | Val F1: 0.4154 | LR: 0.000735
Epoch 06 | Train Loss: 1.3597 | Val Loss: 1.2372 | Val Acc: 0.4540 | Val F1: 0.4540 | LR: 0.000698
Epoch 07 | Train Loss: 1.3473 | Val Loss: 1.3038 | Val Acc: 0.4454 | Val F1: 0.4454 | LR: 0.000663
Epoch 08 | Train Loss: 1.3496 | Val Loss: 1.2602 | Val Acc: 0.4582 | Val F1: 0.4582 | LR: 0.000630
Epoch 09 | Train Loss: 1.3266 | Val Loss: 1.2676 | Val Acc: 0.4668 | Val F1: 0.4668 | LR: 0.000599
Epoch 10 | Train Loss: 1.3241 | Val Loss: 1.2972 | Val Acc: 0.4390 | Val F1: 0.4390 | LR: 0.000569
Epoch 11 | Train Loss: 1.3229 | Val Loss: 1.2786 | Val Acc: 0.4818 | Val F1: 0.4818 | LR: 0.000540
Epoch 12 | Train Loss: 1.3226 | Val Loss: 1.2846 | Val Acc: 0.4454 | Val F1: 0.4454 | LR: 0.000513
Epoch 13 | Train Loss: 1.3071 | Val Loss: 1.2509 | Val Acc: 0.4433 | Val F1: 0.4433 | LR: 0.000488
Epoch 14 | Train Loss: 1.3111 | Val Loss: 1.2505 | Val Acc: 0.4475 | Val F1: 0.4475 | LR: 0.000463
Epoch 15 | Train Loss: 1.3133 | Val Loss: 1.2806 | Val Acc: 0.4411 | Val F1: 0.4411 | LR: 0.000440
Epoch 16 | Train Loss: 1.3383 | Val Loss: 1.2438 | Val Acc: 0.4454 | Val F1: 0.4454 | LR: 0.000418
Epoch 17 | Train Loss: 1.3011 | Val Loss: 1.2647 | Val Acc: 0.4454 | Val F1: 0.4454 | LR: 0.000397
Epoch 18 | Train Loss: 1.2858 | Val Loss: 1.2597 | Val Acc: 0.4582 | Val F1: 0.4582 | LR: 0.000377
Epoch 19 | Train Loss: 1.3349 | Val Loss: 1.2758 | Val Acc: 0.4625 | Val F1: 0.4625 | LR: 0.000358
Epoch 20 | Train Loss: 1.3090 | Val Loss: 1.2602 | Val Acc: 0.4797 | Val F1: 0.4797 | LR: 0.000341
Epoch 21 | Train Loss: 1.2924 | Val Loss: 1.2393 | Val Acc: 0.4433 | Val F1: 0.4433 | LR: 0.000324
Epoch 22 | Train Loss: 1.2818 | Val Loss: 1.2273 | Val Acc: 0.4454 | Val F1: 0.4454 | LR: 0.000307
Epoch 23 | Train Loss: 1.3044 | Val Loss: 1.2582 | Val Acc: 0.4497 | Val F1: 0.4497 | LR: 0.000292
Epoch 24 | Train Loss: 1.2832 | Val Loss: 1.2772 | Val Acc: 0.4668 | Val F1: 0.4668 | LR: 0.000277
Epoch 25 | Train Loss: 1.2736 | Val Loss: 1.2375 | Val Acc: 0.4647 | Val F1: 0.4647 | LR: 0.000264
Epoch 26 | Train Loss: 1.2740 | Val Loss: 1.2400 | Val Acc: 0.4668 | Val F1: 0.4668 | LR: 0.000250
Epoch 27 | Train Loss: 1.2946 | Val Loss: 1.2544 | Val Acc: 0.4433 | Val F1: 0.4433 | LR: 0.000238
Epoch 28 | Train Loss: 1.2526 | Val Loss: 1.2430 | Val Acc: 0.4797 | Val F1: 0.4797 | LR: 0.000226
Epoch 29 | Train Loss: 1.2793 | Val Loss: 1.2507 | Val Acc: 0.4411 | Val F1: 0.4411 | LR: 0.000215
Epoch 30 | Train Loss: 1.2713 | Val Loss: 1.2569 | Val Acc: 0.4690 | Val F1: 0.4690 | LR: 0.000204
Epoch 31 | Train Loss: 1.2642 | Val Loss: 1.2409 | Val Acc: 0.4711 | Val F1: 0.4711 | LR: 0.000194
