Epoch 000 | Train Loss: 1.5808 | Val Loss: 1.4705 | Val Acc: 0.4111 | Val F1: 0.2396 | LR: 0.001000
Epoch 001 | Train Loss: 1.5025 | Val Loss: 1.4542 | Val Acc: 0.4111 | Val F1: 0.2494 | LR: 0.001000
Epoch 002 | Train Loss: 1.4621 | Val Loss: 1.2613 | Val Acc: 0.4668 | Val F1: 0.3241 | LR: 0.001000
Epoch 003 | Train Loss: 1.3740 | Val Loss: 1.3024 | Val Acc: 0.4347 | Val F1: 0.3356 | LR: 0.001000
Epoch 004 | Train Loss: 1.3695 | Val Loss: 1.3184 | Val Acc: 0.4497 | Val F1: 0.3744 | LR: 0.001000
Epoch 005 | Train Loss: 1.3449 | Val Loss: 1.2477 | Val Acc: 0.4390 | Val F1: 0.3418 | LR: 0.001000
Epoch 006 | Train Loss: 1.3501 | Val Loss: 1.4923 | Val Acc: 0.4111 | Val F1: 0.2396 | LR: 0.001000
Epoch 007 | Train Loss: 1.3572 | Val Loss: 1.2385 | Val Acc: 0.4647 | Val F1: 0.3418 | LR: 0.001000
Epoch 008 | Train Loss: 1.3337 | Val Loss: 1.2397 | Val Acc: 0.4454 | Val F1: 0.3897 | LR: 0.001000
Epoch 009 | Train Loss: 1.3464 | Val Loss: 1.2462 | Val Acc: 0.4475 | Val F1: 0.3866 | LR: 0.001000
Epoch 010 | Train Loss: 1.3247 | Val Loss: 1.2331 | Val Acc: 0.4390 | Val F1: 0.3696 | LR: 0.001000
Epoch 011 | Train Loss: 1.3330 | Val Loss: 1.2323 | Val Acc: 0.4518 | Val F1: 0.3699 | LR: 0.001000
Epoch 012 | Train Loss: 1.3126 | Val Loss: 1.2161 | Val Acc: 0.4711 | Val F1: 0.4323 | LR: 0.001000
Epoch 013 | Train Loss: 1.3129 | Val Loss: 1.2147 | Val Acc: 0.4861 | Val F1: 0.4504 | LR: 0.001000
Epoch 014 | Train Loss: 1.3108 | Val Loss: 1.2247 | Val Acc: 0.4732 | Val F1: 0.4480 | LR: 0.001000
Epoch 015 | Train Loss: 1.3261 | Val Loss: 1.2300 | Val Acc: 0.4861 | Val F1: 0.4588 | LR: 0.001000
Epoch 016 | Train Loss: 1.3396 | Val Loss: 1.2226 | Val Acc: 0.4668 | Val F1: 0.3241 | LR: 0.001000
Epoch 017 | Train Loss: 1.3098 | Val Loss: 1.2209 | Val Acc: 0.4497 | Val F1: 0.3980 | LR: 0.001000
Epoch 018 | Train Loss: 1.3226 | Val Loss: 1.2312 | Val Acc: 0.4668 | Val F1: 0.3241 | LR: 0.001000
Epoch 019 | Train Loss: 1.3195 | Val Loss: 1.2089 | Val Acc: 0.4818 | Val F1: 0.4528 | LR: 0.000800
Epoch 020 | Train Loss: 1.2849 | Val Loss: 1.2217 | Val Acc: 0.4625 | Val F1: 0.4404 | LR: 0.000800
Epoch 021 | Train Loss: 1.3196 | Val Loss: 1.2272 | Val Acc: 0.4475 | Val F1: 0.3541 | LR: 0.000800
Epoch 022 | Train Loss: 1.2904 | Val Loss: 1.2199 | Val Acc: 0.4518 | Val F1: 0.3878 | LR: 0.000800
Epoch 023 | Train Loss: 1.2741 | Val Loss: 1.2043 | Val Acc: 0.4668 | Val F1: 0.3241 | LR: 0.000800
Epoch 024 | Train Loss: 1.2781 | Val Loss: 1.2127 | Val Acc: 0.4668 | Val F1: 0.4437 | LR: 0.000800
Epoch 025 | Train Loss: 1.3523 | Val Loss: 1.1998 | Val Acc: 0.4625 | Val F1: 0.4372 | LR: 0.000800
Epoch 026 | Train Loss: 1.2644 | Val Loss: 1.2102 | Val Acc: 0.4454 | Val F1: 0.3938 | LR: 0.000800
Epoch 027 | Train Loss: 1.2890 | Val Loss: 1.2054 | Val Acc: 0.4775 | Val F1: 0.3958 | LR: 0.000800
Epoch 028 | Train Loss: 1.2837 | Val Loss: 1.2033 | Val Acc: 0.4475 | Val F1: 0.3926 | LR: 0.000800
Epoch 029 | Train Loss: 1.2758 | Val Loss: 1.2056 | Val Acc: 0.4861 | Val F1: 0.4384 | LR: 0.000800
Epoch 030 | Train Loss: 1.2912 | Val Loss: 1.2197 | Val Acc: 0.4497 | Val F1: 0.3725 | LR: 0.000800
Epoch 031 | Train Loss: 1.2894 | Val Loss: 1.2117 | Val Acc: 0.4797 | Val F1: 0.3971 | LR: 0.000800
Epoch 032 | Train Loss: 1.2824 | Val Loss: 1.2035 | Val Acc: 0.4625 | Val F1: 0.4161 | LR: 0.000800
Epoch 033 | Train Loss: 1.3024 | Val Loss: 1.2109 | Val Acc: 0.4797 | Val F1: 0.4558 | LR: 0.000800
