filename;num_nodes;num_edges;node_degrees;average_shortest_path_length;density;num_nodes_subcircuit;num_nodes_pin;num_nodes_net;num_nodes_component;num_components_R;num_components_C;num_components_V;num_components_M;num_components_D;num_components_Q;num_components_I;num_components_L
LT1001_TA05_star.gpickle;46;52;{'XU1': 5, 'XU1.p1': 2, 'N001': 2, 'XU1.p2': 2, 'N005': 3, 'XU1.p3': 2, '+V': 2, 'XU1.p4': 2, '-V': 3, 'XU1.p5': 2, 'N003': 3, 'R1': 2, 'R1.1': 2, 'N002': 4, 'R1.2': 2, 'R3': 2, 'R3.1': 2, 'R3.2': 2, '0': 5, 'C1': 2, 'C1.1': 2, 'C1.2': 2, 'C2': 2, 'C2.1': 2, 'C2.2': 2, 'R4': 2, 'R4.1': 2, 'R4.2': 2, 'N004': 2, 'V1': 2, 'V1.pos': 2, 'V1.neg': 2, 'Rload': 2, 'Rload.1': 2, 'N006': 2, 'Rload.2': 2, 'V2': 2, 'V2.pos': 2, 'V2.neg': 2, 'V3': 2, 'V3.pos': 2, 'V3.neg': 2, 'M1': 3, 'M1.drain': 2, 'M1.gate': 2, 'M1.source': 2};6;0.050241545893719805;1;26;9;10;4.0;2.0;3.0;1.0;;;;
LT1001_TA10_star.gpickle;52;60;{'V1': 2, 'V1.pos': 2, '+V': 3, 'V1.neg': 2, '0': 4, 'XU1': 5, 'XU1.p1': 2, 'XU1.p2': 2, 'N001': 4, 'XU1.p3': 2, 'XU1.p4': 2, '-V': 3, 'XU1.p5': 2, 'N004': 3, 'V2': 2, 'V2.pos': 2, 'V2.neg': 2, 'R1': 2, 'R1.1': 2, 'N002': 3, 'R1.2': 2, 'V3': 2, 'V3.pos': 2, 'IN': 2, 'V3.neg': 2, 'XU2': 5, 'XU2.p1': 2, 'N005': 3, 'XU2.p2': 2, 'N003': 3, 'XU2.p3': 2, 'XU2.p4': 2, 'XU2.p5': 2, 'OUT': 2, 'D1': 2, 'D1.anode': 2, 'D1.cathode': 2, 'R2': 2, 'R2.1': 2, 'R2.2': 2, 'R3': 2, 'R3.1': 2, 'R3.2': 2, 'R4': 2, 'R4.1': 2, 'R4.2': 2, 'R5': 2, 'R5.1': 2, 'R5.2': 2, 'D2': 2, 'D2.anode': 2, 'D2.cathode': 2};6;0.04524886877828054;2;30;10;10;5.0;;3.0;;2.0;;;
LT1002_TA10_star.gpickle;48;56;{'V1': 2, 'V1.pos': 2, '+V': 3, 'V1.neg': 2, '0': 4, 'V2': 2, 'V2.pos': 2, '-V': 3, 'V2.neg': 2, 'R1': 2, 'R1.1': 2, 'N003': 3, 'R1.2': 2, 'N001': 4, 'R2': 2, 'R2.1': 2, 'R2.2': 2, 'V3': 2, 'V3.pos': 2, 'IN-': 2, 'V3.neg': 2, 'IN+': 3, 'XU1': 5, 'XU1.p1': 2, 'XU1.p2': 2, 'XU1.p3': 2, 'XU1.p4': 2, 'XU1.p5': 2, 'XU2': 5, 'XU2.p1': 2, 'XU2.p2': 2, 'N002': 4, 'XU2.p3': 2, 'XU2.p4': 2, 'XU2.p5': 2, 'OUT': 2, 'R3': 2, 'R3.1': 2, 'R3.2': 2, 'R4': 2, 'R4.1': 2, 'R4.2': 2, 'R5': 2, 'R5.1': 2, 'R5.2': 2, 'V4': 2, 'V4.pos': 2, 'V4.neg': 2};6;0.04964539007092199;2;28;9;9;5.0;;4.0;;;;;
LT1028_TA10_LT1055_1_star.gpickle;95;112;{'XU1': 5, 'XU1.p1': 2, 'N001': 4, 'XU1.p2': 2, 'N003': 4, 'XU1.p3': 2, 'V+': 4, 'XU1.p4': 2, 'V-': 3, 'XU1.p5': 2, 'OUT': 5, 'D1': 2, 'D1.anode': 2, 'D1.cathode': 2, 'N005': 6, 'D2': 2, 'D2.anode': 2, 'N008': 3, 'D2.cathode': 2, 'N010': 3, 'R1': 2, 'R1.1': 2, 'R1.2': 2, '0': 9, 'R2': 2, 'R2.1': 2, 'N002': 2, 'R2.2': 2, 'C1': 2, 'C1.1': 2, 'C1.2': 2, 'R3': 2, 'R3.1': 2, 'R3.2': 2, 'N007': 3, 'R4': 2, 'R4.1': 2, 'R4.2': 2, 'C2': 2, 'C2.1': 2, 'C2.2': 2, 'R5': 2, 'R5.1': 2, 'R5.2': 2, 'N004': 5, 'R6': 2, 'R6.1': 2, 'R6.2': 2, 'N009': 3, 'C3': 2, 'C3.1': 2, 'N006': 2, 'C3.2': 2, 'C4': 2, 'C4.1': 2, 'C4.2': 2, 'V1': 2, 'V1.pos': 2, 'V1.neg': 2, 'V2': 2, 'V2.pos': 2, 'V2.neg': 2, 'R7': 2, 'R7.1': 2, 'R7.2': 2, 'R10': 2, 'R10.1': 2, 'R10.2': 2, 'R11': 2, 'R11.1': 2, 'R11.2': 2, 'XU3': 2, 'XU3.p1': 2, 'XU3.p2': 2, 'XU4': 5, 'XU4.p1': 2, 'XU4.p2': 2, 'XU4.p3': 2, 'XU4.p4': 2, 'XU4.p5': 2, 'R9': 2, 'R9.1': 2, 'R9.2': 2, 'R12': 2, 'R12.1': 2, 'R12.2': 2, 'R13': 2, 'R13.1': 2, 'R13.2': 2, 'C5': 2, 'C5.1': 2, 'C5.2': 2, 'R8': 2, 'R8.1': 2, 'R8.2': 2};7;0.025083986562150055;3;56;14;22;13.0;5.0;2.0;;2.0;;;
LT1028_TA10_LT1055_star.gpickle;95;112;{'XU1': 5, 'XU1.p1': 2, 'N001': 4, 'XU1.p2': 2, 'N003': 4, 'XU1.p3': 2, 'V+': 4, 'XU1.p4': 2, 'V-': 3, 'XU1.p5': 2, 'OUT': 5, 'D1': 2, 'D1.anode': 2, 'D1.cathode': 2, 'N005': 6, 'D2': 2, 'D2.anode': 2, 'N008': 3, 'D2.cathode': 2, 'N010': 3, 'R1': 2, 'R1.1': 2, 'R1.2': 2, '0': 9, 'R2': 2, 'R2.1': 2, 'N002': 2, 'R2.2': 2, 'C1': 2, 'C1.1': 2, 'C1.2': 2, 'R3': 2, 'R3.1': 2, 'R3.2': 2, 'N007': 3, 'R4': 2, 'R4.1': 2, 'R4.2': 2, 'C2': 2, 'C2.1': 2, 'C2.2': 2, 'R5': 2, 'R5.1': 2, 'R5.2': 2, 'N004': 5, 'R6': 2, 'R6.1': 2, 'R6.2': 2, 'N009': 3, 'C3': 2, 'C3.1': 2, 'N006': 2, 'C3.2': 2, 'C4': 2, 'C4.1': 2, 'C4.2': 2, 'V1': 2, 'V1.pos': 2, 'V1.neg': 2, 'V2': 2, 'V2.pos': 2, 'V2.neg': 2, 'R7': 2, 'R7.1': 2, 'R7.2': 2, 'R10': 2, 'R10.1': 2, 'R10.2': 2, 'R11': 2, 'R11.1': 2, 'R11.2': 2, 'XU3': 2, 'XU3.p1': 2, 'XU3.p2': 2, 'XU4': 5, 'XU4.p1': 2, 'XU4.p2': 2, 'XU4.p3': 2, 'XU4.p4': 2, 'XU4.p5': 2, 'R9': 2, 'R9.1': 2, 'R9.2': 2, 'R12': 2, 'R12.1': 2, 'R12.2': 2, 'R13': 2, 'R13.1': 2, 'R13.2': 2, 'C5': 2, 'C5.1': 2, 'C5.2': 2, 'R8': 2, 'R8.1': 2, 'R8.2': 2};7;0.025083986562150055;3;56;14;22;13.0;5.0;2.0;;2.0;;;
LT1028_TA10_LT1055__star.gpickle;95;112;{'XU1': 5, 'XU1.p1': 2, 'N001': 4, 'XU1.p2': 2, 'N003': 4, 'XU1.p3': 2, 'V+': 4, 'XU1.p4': 2, 'V-': 3, 'XU1.p5': 2, 'OUT': 5, 'D1': 2, 'D1.anode': 2, 'D1.cathode': 2, 'N005': 6, 'D2': 2, 'D2.anode': 2, 'N008': 3, 'D2.cathode': 2, 'N010': 3, 'R1': 2, 'R1.1': 2, 'R1.2': 2, '0': 9, 'R2': 2, 'R2.1': 2, 'N002': 2, 'R2.2': 2, 'C1': 2, 'C1.1': 2, 'C1.2': 2, 'R3': 2, 'R3.1': 2, 'R3.2': 2, 'N007': 3, 'R4': 2, 'R4.1': 2, 'R4.2': 2, 'C2': 2, 'C2.1': 2, 'C2.2': 2, 'R5': 2, 'R5.1': 2, 'R5.2': 2, 'N004': 5, 'R6': 2, 'R6.1': 2, 'R6.2': 2, 'N009': 3, 'C3': 2, 'C3.1': 2, 'N006': 2, 'C3.2': 2, 'C4': 2, 'C4.1': 2, 'C4.2': 2, 'V1': 2, 'V1.pos': 2, 'V1.neg': 2, 'V2': 2, 'V2.pos': 2, 'V2.neg': 2, 'R7': 2, 'R7.1': 2, 'R7.2': 2, 'R10': 2, 'R10.1': 2, 'R10.2': 2, 'R11': 2, 'R11.1': 2, 'R11.2': 2, 'XU3': 2, 'XU3.p1': 2, 'XU3.p2': 2, 'XU4': 5, 'XU4.p1': 2, 'XU4.p2': 2, 'XU4.p3': 2, 'XU4.p4': 2, 'XU4.p5': 2, 'R9': 2, 'R9.1': 2, 'R9.2': 2, 'R12': 2, 'R12.1': 2, 'R12.2': 2, 'R13': 2, 'R13.1': 2, 'R13.2': 2, 'C5': 2, 'C5.1': 2, 'C5.2': 2, 'R8': 2, 'R8.1': 2, 'R8.2': 2};7;0.025083986562150055;3;56;14;22;13.0;5.0;2.0;;2.0;;;
LT1037_TA01_star.gpickle;48;54;{'V1': 2, 'V1.pos': 2, '+V': 2, 'V1.neg': 2, '0': 6, 'V2': 2, 'V2.pos': 2, '-V': 2, 'V2.neg': 2, 'R1': 2, 'R1.1': 2, 'OUT': 3, 'R1.2': 2, 'N002': 3, 'XU1': 5, 'XU1.p1': 2, 'N003': 4, 'XU1.p2': 2, 'XU1.p3': 2, 'XU1.p4': 2, 'XU1.p5': 2, 'C1': 2, 'C1.1': 2, 'C1.2': 2, 'N004': 3, 'R2': 2, 'R2.1': 2, 'R2.2': 2, 'C2': 2, 'C2.1': 2, 'C2.2': 2, 'R3': 2, 'R3.1': 2, 'R3.2': 2, 'R4': 2, 'R4.1': 2, 'R4.2': 2, 'N001': 1, 'D1': 2, 'D1.anode': 2, 'N005': 3, 'D1.cathode': 2, 'R5': 2, 'R5.1': 2, 'R5.2': 2, 'C3': 2, 'C3.1': 2, 'C3.2': 2};6;0.047872340425531915;1;27;9;11;5.0;3.0;2.0;;1.0;;;
LT1054_TA14_star.gpickle;55;64;{'V1': 2, 'V1.pos': 2, 'IN': 3, 'V1.neg': 2, '0': 6, 'C1': 2, 'C1.1': 2, 'N002': 2, 'C1.2': 2, 'N005': 3, 'XU1': 8, 'XU1.p1': 2, 'N001': 4, 'XU1.p2': 2, 'XU1.p3': 2, 'XU1.p4': 2, 'XU1.p5': 2, 'N006': 3, 'XU1.p6': 2, 'N004': 2, 'XU1.p7': 2, 'N003': 1, 'XU1.p8': 2, 'C2': 2, 'C2.1': 2, 'C2.2': 2, 'R1': 2, 'R1.1': 2, 'R1.2': 2, 'OUT': 5, 'R2': 2, 'R2.1': 2, 'R2.2': 2, 'C3': 2, 'C3.1': 2, 'C3.2': 2, 'D1': 2, 'D1.anode': 2, 'N007': 3, 'D1.cathode': 2, 'C4': 2, 'C4.1': 2, 'C4.2': 2, 'D2': 2, 'D2.anode': 2, 'D2.cathode': 2, 'C5': 2, 'C5.1': 2, 'C5.2': 2, 'C6': 2, 'C6.1': 2, 'C6.2': 2, 'Rload': 2, 'Rload.1': 2, 'Rload.2': 2};6;0.0430976430976431;1;32;10;12;3.0;6.0;1.0;;2.0;;;
LT1055_TA10_star.gpickle;135;158;{'XU1': 5, 'XU1.p1': 2, 'N010': 4, 'XU1.p2': 2, 'N008': 3, 'XU1.p3': 2, 'N004': 3, 'XU1.p4': 2, 'N014': 3, 'XU1.p5': 2, 'N009': 4, 'R1': 2, 'R1.1': 2, 'R1.2': 2, '0': 8, 'R2': 2, 'R2.1': 2, 'R2.2': 2, 'IN': 2, 'C1': 2, 'C1.1': 2, 'C1.2': 2, 'D1': 2, 'D1.anode': 2, 'D1.cathode': 2, 'R3': 2, 'R3.1': 2, 'N001': 6, 'R3.2': 2, 'C2': 2, 'C2.1': 2, 'C2.2': 2, 'R4': 2, 'R4.1': 2, 'R4.2': 2, 'N003': 4, 'R5': 2, 'R5.1': 2, 'R5.2': 2, 'R6': 2, 'R6.1': 2, 'R6.2': 2, 'N016': 4, 'R7': 2, 'R7.1': 2, 'R7.2': 2, 'N018': 6, 'R8': 2, 'R8.1': 2, 'R8.2': 2, 'V1': 2, 'V1.pos': 2, 'V1.neg': 2, 'R9': 2, 'R9.1': 2, 'R9.2': 2, 'N002': 2, 'R10': 2, 'R10.1': 2, 'R10.2': 2, 'OUT': 8, 'R11': 2, 'R11.1': 2, 'R11.2': 2, 'R12': 2, 'R12.1': 2, 'N017': 2, 'R12.2': 2, 'C3': 2, 'C3.1': 2, 'C3.2': 2, 'D2': 2, 'D2.anode': 2, 'D2.cathode': 2, 'V2': 2, 'V2.pos': 2, 'V2.neg': 2, 'Q1': 3, 'Q1.collector': 2, 'N005': 4, 'Q1.base': 2, 'Q1.emitter': 2, 'Q2': 3, 'Q2.collector': 2, 'N015': 4, 'Q2.base': 2, 'Q2.emitter': 2, 'D3': 2, 'D3.anode': 2, 'D3.cathode': 2, 'N011': 2, 'D4': 2, 'D4.anode': 2, 'D4.cathode': 2, 'R13': 2, 'R13.1': 2, 'R13.2': 2, 'C4': 2, 'C4.1': 2, 'C4.2': 2, 'V3': 2, 'V3.pos': 2, 'V3.neg': 2, 'Q3': 3, 'Q3.collector': 2, 'Q3.base': 2, 'N006': 2, 'Q3.emitter': 2, 'Q4': 3, 'Q4.collector': 2, 'Q4.base': 2, 'N012': 2, 'Q4.emitter': 2, 'R14': 2, 'R14.1': 2, 'N007': 3, 'R14.2': 2, 'R15': 2, 'R15.1': 2, 'N013': 3, 'R15.2': 2, 'R16': 2, 'R16.1': 2, 'R16.2': 2, 'R17': 2, 'R17.1': 2, 'R17.2': 2, 'Q5': 3, 'Q5.collector': 2, 'Q5.base': 2, 'Q5.emitter': 2, 'Q6': 3, 'Q6.collector': 2, 'Q6.base': 2, 'Q6.emitter': 2};8;0.017468214483139857;1;79;21;34;17.0;4.0;3.0;;4.0;6.0;;
LT1071HV_star.gpickle;40;46;{'I1': 2, 'I1.pos': 2, 'OUT': 4, 'I1.neg': 2, '0': 6, 'L1': 2, 'L1.1': 2, 'IN': 3, 'L1.2': 2, 'N001': 3, 'D1': 2, 'D1.anode': 2, 'D1.cathode': 2, 'R1': 2, 'R1.1': 2, 'R1.2': 2, 'N002': 3, 'R2': 2, 'R2.1': 2, 'R2.2': 2, 'R3': 2, 'R3.1': 2, 'N003': 2, 'R3.2': 2, 'N004': 2, 'C1': 2, 'C1.1': 2, 'C1.2': 2, 'C2': 2, 'C2.1': 2, 'C2.2': 2, 'V1': 2, 'V1.pos': 2, 'V1.neg': 2, 'XU1': 5, 'XU1.p1': 2, 'XU1.p2': 2, 'XU1.p3': 2, 'XU1.p4': 2, 'XU1.p5': 2};5;0.05897435897435897;1;23;7;9;3.0;2.0;1.0;;1.0;;1.0;1.0
