filename;num_nodes;num_edges;node_degrees;average_shortest_path_length;density;num_nodes_subcircuit;num_nodes_pin;num_nodes_net
single_ended_cascode_LG_load_biasn_cr13_1_star.gpickle;26;24;{'Xiota': 7, 'Xiota.p1': 2, 'LG_Vbiasn2': 2, 'Xiota.p2': 2, 'LG_Vbiasp1': 1, 'Xiota.p3': 2, 'LG_Vbiasp2': 1, 'Xiota.p4': 2, 'Vinn': 1, 'Xiota.p5': 2, 'Vinp': 1, 'Xiota.p6': 2, 'Voutn': 1, 'Xiota.p7': 2, 'single_ended_cascode': 1, 'XiLG_load_biasn': 3, 'XiLG_load_biasn.p1': 2, 'LG_Vbiasn1': 1, 'XiLG_load_biasn.p2': 2, 'XiLG_load_biasn.p3': 2, 'LG_load_biasn': 1, 'XibCR13_2': 2, 'XibCR13_2.p1': 2, 'Biasp': 1, 'XibCR13_2.p2': 2, 'CR13_2': 1};4;0.07384615384615385;3;12;11
single_ended_cascode_LG_load_biasn_cr13_2_star.gpickle;26;24;{'Xiota': 7, 'Xiota.p1': 2, 'LG_Vbiasn2': 2, 'Xiota.p2': 2, 'LG_Vbiasp1': 1, 'Xiota.p3': 2, 'LG_Vbiasp2': 1, 'Xiota.p4': 2, 'Vinn': 1, 'Xiota.p5': 2, 'Vinp': 1, 'Xiota.p6': 2, 'Voutn': 1, 'Xiota.p7': 2, 'single_ended_cascode': 1, 'XiLG_load_biasn': 3, 'XiLG_load_biasn.p1': 2, 'LG_Vbiasn1': 1, 'XiLG_load_biasn.p2': 2, 'XiLG_load_biasn.p3': 2, 'LG_load_biasn': 1, 'XibCR13_2': 2, 'XibCR13_2.p1': 2, 'Biasp': 1, 'XibCR13_2.p2': 2, 'CR13_2': 1};4;0.07384615384615385;3;12;11
single_ended_cascode_LG_load_biasn_cr14_2_star.gpickle;26;24;{'Xiota': 7, 'Xiota.p1': 2, 'LG_Vbiasn2': 2, 'Xiota.p2': 2, 'LG_Vbiasp1': 1, 'Xiota.p3': 2, 'LG_Vbiasp2': 1, 'Xiota.p4': 2, 'Vinn': 1, 'Xiota.p5': 2, 'Vinp': 1, 'Xiota.p6': 2, 'Voutn': 1, 'Xiota.p7': 2, 'single_ended_cascode': 1, 'XiLG_load_biasn': 3, 'XiLG_load_biasn.p1': 2, 'LG_Vbiasn1': 1, 'XiLG_load_biasn.p2': 2, 'XiLG_load_biasn.p3': 2, 'LG_load_biasn': 1, 'XibCR14_2': 2, 'XibCR14_2.p1': 2, 'Biasp': 1, 'XibCR14_2.p2': 2, 'CR14_2': 1};4;0.07384615384615385;3;12;11
single_ended_cascode_LG_load_biasn_cr15_1_star.gpickle;24;22;{'Xiota': 7, 'Xiota.p1': 2, 'LG_Vbiasn2': 2, 'Xiota.p2': 2, 'LG_Vbiasp1': 1, 'Xiota.p3': 2, 'LG_Vbiasp2': 1, 'Xiota.p4': 2, 'Vinn': 1, 'Xiota.p5': 2, 'Vinp': 1, 'Xiota.p6': 2, 'Voutn': 1, 'Xiota.p7': 2, 'single_ended_cascode': 1, 'XiLG_load_biasn': 3, 'XiLG_load_biasn.p1': 2, 'LG_Vbiasn1': 1, 'XiLG_load_biasn.p2': 2, 'XiLG_load_biasn.p3': 2, 'LG_load_biasn': 1, 'XibCR15_1': 1, 'XibCR15_1.p1': 2, 'CR15_1': 1};4;0.07971014492753623;3;11;10
single_ended_cascode_LG_load_biasn_cr16_1_star.gpickle;24;22;{'Xiota': 7, 'Xiota.p1': 2, 'LG_Vbiasn2': 2, 'Xiota.p2': 2, 'LG_Vbiasp1': 1, 'Xiota.p3': 2, 'LG_Vbiasp2': 1, 'Xiota.p4': 2, 'Vinn': 1, 'Xiota.p5': 2, 'Vinp': 1, 'Xiota.p6': 2, 'Voutn': 1, 'Xiota.p7': 2, 'single_ended_cascode': 1, 'XiLG_load_biasn': 3, 'XiLG_load_biasn.p1': 2, 'LG_Vbiasn1': 1, 'XiLG_load_biasn.p2': 2, 'XiLG_load_biasn.p3': 2, 'LG_load_biasn': 1, 'XibCR16_1': 1, 'XibCR16_1.p1': 2, 'CR16_1': 1};4;0.07971014492753623;3;11;10
single_ended_cascode_LG_load_biasn_cr2_2_star.gpickle;26;24;{'Xiota': 7, 'Xiota.p1': 2, 'LG_Vbiasn2': 2, 'Xiota.p2': 2, 'LG_Vbiasp1': 1, 'Xiota.p3': 2, 'LG_Vbiasp2': 1, 'Xiota.p4': 2, 'Vinn': 1, 'Xiota.p5': 2, 'Vinp': 1, 'Xiota.p6': 2, 'Voutn': 1, 'Xiota.p7': 2, 'single_ended_cascode': 1, 'XiLG_load_biasn': 3, 'XiLG_load_biasn.p1': 2, 'LG_Vbiasn1': 1, 'XiLG_load_biasn.p2': 2, 'XiLG_load_biasn.p3': 2, 'LG_load_biasn': 1, 'XibCR2_2_wilson': 2, 'XibCR2_2_wilson.p1': 2, 'Biasp': 1, 'XibCR2_2_wilson.p2': 2, 'CR2_2_wilson': 1};4;0.07384615384615385;3;12;11
single_ended_cascode_LG_load_biasn_cr3_2_star.gpickle;26;24;{'Xiota': 7, 'Xiota.p1': 2, 'LG_Vbiasn2': 2, 'Xiota.p2': 2, 'LG_Vbiasp1': 1, 'Xiota.p3': 2, 'LG_Vbiasp2': 1, 'Xiota.p4': 2, 'Vinn': 1, 'Xiota.p5': 2, 'Vinp': 1, 'Xiota.p6': 2, 'Voutn': 1, 'Xiota.p7': 2, 'single_ended_cascode': 1, 'XiLG_load_biasn': 3, 'XiLG_load_biasn.p1': 2, 'LG_Vbiasn1': 1, 'XiLG_load_biasn.p2': 2, 'XiLG_load_biasn.p3': 2, 'LG_load_biasn': 1, 'XibCR3_2': 2, 'XibCR3_2.p1': 2, 'Biasp': 1, 'XibCR3_2.p2': 2, 'CR3_2': 1};4;0.07384615384615385;3;12;11
single_ended_cascode_LG_load_biasn_cr4_2_star.gpickle;26;24;{'Xiota': 7, 'Xiota.p1': 2, 'LG_Vbiasn2': 2, 'Xiota.p2': 2, 'LG_Vbiasp1': 1, 'Xiota.p3': 2, 'LG_Vbiasp2': 1, 'Xiota.p4': 2, 'Vinn': 1, 'Xiota.p5': 2, 'Vinp': 1, 'Xiota.p6': 2, 'Voutn': 1, 'Xiota.p7': 2, 'single_ended_cascode': 1, 'XiLG_load_biasn': 3, 'XiLG_load_biasn.p1': 2, 'LG_Vbiasn1': 1, 'XiLG_load_biasn.p2': 2, 'XiLG_load_biasn.p3': 2, 'LG_load_biasn': 1, 'XibCR4_2': 2, 'XibCR4_2.p1': 2, 'Biasp': 1, 'XibCR4_2.p2': 2, 'CR4_2': 1};4;0.07384615384615385;3;12;11
single_ended_cascode_LG_load_biasn_cr5_2_star.gpickle;26;24;{'Xiota': 7, 'Xiota.p1': 2, 'LG_Vbiasn2': 2, 'Xiota.p2': 2, 'LG_Vbiasp1': 1, 'Xiota.p3': 2, 'LG_Vbiasp2': 1, 'Xiota.p4': 2, 'Vinn': 1, 'Xiota.p5': 2, 'Vinp': 1, 'Xiota.p6': 2, 'Voutn': 1, 'Xiota.p7': 2, 'single_ended_cascode': 1, 'XiLG_load_biasn': 3, 'XiLG_load_biasn.p1': 2, 'LG_Vbiasn1': 1, 'XiLG_load_biasn.p2': 2, 'XiLG_load_biasn.p3': 2, 'LG_load_biasn': 1, 'XibCR5_2': 2, 'XibCR5_2.p1': 2, 'Biasp': 1, 'XibCR5_2.p2': 2, 'CR5_2': 1};4;0.07384615384615385;3;12;11
single_ended_cascode_LG_load_biasn_cr6_3_star.gpickle;28;26;{'Xiota': 7, 'Xiota.p1': 2, 'LG_Vbiasn2': 2, 'Xiota.p2': 2, 'LG_Vbiasp1': 1, 'Xiota.p3': 2, 'LG_Vbiasp2': 1, 'Xiota.p4': 2, 'Vinn': 1, 'Xiota.p5': 2, 'Vinp': 1, 'Xiota.p6': 2, 'Voutn': 1, 'Xiota.p7': 2, 'single_ended_cascode': 1, 'XiLG_load_biasn': 3, 'XiLG_load_biasn.p1': 2, 'LG_Vbiasn1': 1, 'XiLG_load_biasn.p2': 2, 'XiLG_load_biasn.p3': 2, 'LG_load_biasn': 1, 'XibCR6_3': 3, 'XibCR6_3.p1': 2, 'Biasn2': 1, 'XibCR6_3.p2': 2, 'Biasp': 1, 'XibCR6_3.p3': 2, 'CR6_3': 1};4;0.06878306878306878;3;13;12
single_ended_cascode_LG_load_biasn_LV_cr2_2_star.gpickle;24;22;{'Xiota': 7, 'Xiota.p1': 2, 'LG_Vbiasn2': 2, 'Xiota.p2': 2, 'LG_Vbiasp1': 1, 'Xiota.p3': 2, 'LG_Vbiasp2': 1, 'Xiota.p4': 2, 'Vinn': 1, 'Xiota.p5': 2, 'Vinp': 1, 'Xiota.p6': 2, 'Voutn': 1, 'Xiota.p7': 2, 'single_ended_cascode': 1, 'XiLG_load_biasn_LV': 2, 'XiLG_load_biasn_LV.p1': 2, 'XiLG_load_biasn_LV.p2': 2, 'LG_load_biasn_LV': 1, 'XibCR2_2_wilson': 2, 'XibCR2_2_wilson.p1': 2, 'Biasp': 1, 'XibCR2_2_wilson.p2': 2, 'CR2_2_wilson': 1};4;0.07971014492753623;3;11;10
single_ended_cascode_LG_load_biasn_LV_cr3_2_star.gpickle;24;22;{'Xiota': 7, 'Xiota.p1': 2, 'LG_Vbiasn2': 2, 'Xiota.p2': 2, 'LG_Vbiasp1': 1, 'Xiota.p3': 2, 'LG_Vbiasp2': 1, 'Xiota.p4': 2, 'Vinn': 1, 'Xiota.p5': 2, 'Vinp': 1, 'Xiota.p6': 2, 'Voutn': 1, 'Xiota.p7': 2, 'single_ended_cascode': 1, 'XiLG_load_biasn_LV': 2, 'XiLG_load_biasn_LV.p1': 2, 'XiLG_load_biasn_LV.p2': 2, 'LG_load_biasn_LV': 1, 'XibCR3_2': 2, 'XibCR3_2.p1': 2, 'Biasp': 1, 'XibCR3_2.p2': 2, 'CR3_2': 1};4;0.07971014492753623;3;11;10
single_ended_cascode_LG_load_biasn_LV_cr4_2_star.gpickle;24;22;{'Xiota': 7, 'Xiota.p1': 2, 'LG_Vbiasn2': 2, 'Xiota.p2': 2, 'LG_Vbiasp1': 1, 'Xiota.p3': 2, 'LG_Vbiasp2': 1, 'Xiota.p4': 2, 'Vinn': 1, 'Xiota.p5': 2, 'Vinp': 1, 'Xiota.p6': 2, 'Voutn': 1, 'Xiota.p7': 2, 'single_ended_cascode': 1, 'XiLG_load_biasn_LV': 2, 'XiLG_load_biasn_LV.p1': 2, 'XiLG_load_biasn_LV.p2': 2, 'LG_load_biasn_LV': 1, 'XibCR4_2': 2, 'XibCR4_2.p1': 2, 'Biasp': 1, 'XibCR4_2.p2': 2, 'CR4_2': 1};4;0.07971014492753623;3;11;10
single_ended_cascode_LG_load_biasn_LV_cr5_2_star.gpickle;24;22;{'Xiota': 7, 'Xiota.p1': 2, 'LG_Vbiasn2': 2, 'Xiota.p2': 2, 'LG_Vbiasp1': 1, 'Xiota.p3': 2, 'LG_Vbiasp2': 1, 'Xiota.p4': 2, 'Vinn': 1, 'Xiota.p5': 2, 'Vinp': 1, 'Xiota.p6': 2, 'Voutn': 1, 'Xiota.p7': 2, 'single_ended_cascode': 1, 'XiLG_load_biasn_LV': 2, 'XiLG_load_biasn_LV.p1': 2, 'XiLG_load_biasn_LV.p2': 2, 'LG_load_biasn_LV': 1, 'XibCR5_2': 2, 'XibCR5_2.p1': 2, 'Biasp': 1, 'XibCR5_2.p2': 2, 'CR5_2': 1};4;0.07971014492753623;3;11;10
single_ended_cascode_LG_load_biasn_LV_cr6_3_star.gpickle;26;24;{'Xiota': 7, 'Xiota.p1': 2, 'LG_Vbiasn2': 2, 'Xiota.p2': 2, 'LG_Vbiasp1': 1, 'Xiota.p3': 2, 'LG_Vbiasp2': 1, 'Xiota.p4': 2, 'Vinn': 1, 'Xiota.p5': 2, 'Vinp': 1, 'Xiota.p6': 2, 'Voutn': 1, 'Xiota.p7': 2, 'single_ended_cascode': 1, 'XiLG_load_biasn_LV': 2, 'XiLG_load_biasn_LV.p1': 2, 'XiLG_load_biasn_LV.p2': 2, 'LG_load_biasn_LV': 1, 'XibCR6_3': 3, 'XibCR6_3.p1': 2, 'Biasn2': 1, 'XibCR6_3.p2': 2, 'Biasp': 1, 'XibCR6_3.p3': 2, 'CR6_3': 1};4;0.07384615384615385;3;12;11
single_ended_current_mirror_LG_nmos_cr13_1_star.gpickle;19;16;{'Xiota': 4, 'Xiota.p1': 2, 'Vinn': 1, 'Xiota.p2': 2, 'Vinp': 1, 'Xiota.p3': 2, 'Voutn': 1, 'Xiota.p4': 2, 'single_ended_current_mirror': 1, 'XiLG_nmos': 2, 'XiLG_nmos.p1': 2, 'LG_Vbiasn': 1, 'XiLG_nmos.p2': 2, 'LG_nmos': 1, 'XibCR13_2': 2, 'XibCR13_2.p1': 2, 'Biasp': 1, 'XibCR13_2.p2': 2, 'CR13_2': 1};3;0.0935672514619883;3;8;8
single_ended_current_mirror_LG_nmos_cr13_2_star.gpickle;19;16;{'Xiota': 4, 'Xiota.p1': 2, 'Vinn': 1, 'Xiota.p2': 2, 'Vinp': 1, 'Xiota.p3': 2, 'Voutn': 1, 'Xiota.p4': 2, 'single_ended_current_mirror': 1, 'XiLG_nmos': 2, 'XiLG_nmos.p1': 2, 'LG_Vbiasn': 1, 'XiLG_nmos.p2': 2, 'LG_nmos': 1, 'XibCR13_2': 2, 'XibCR13_2.p1': 2, 'Biasp': 1, 'XibCR13_2.p2': 2, 'CR13_2': 1};3;0.0935672514619883;3;8;8
single_ended_current_mirror_LG_nmos_cr14_2_star.gpickle;19;16;{'Xiota': 4, 'Xiota.p1': 2, 'Vinn': 1, 'Xiota.p2': 2, 'Vinp': 1, 'Xiota.p3': 2, 'Voutn': 1, 'Xiota.p4': 2, 'single_ended_current_mirror': 1, 'XiLG_nmos': 2, 'XiLG_nmos.p1': 2, 'LG_Vbiasn': 1, 'XiLG_nmos.p2': 2, 'LG_nmos': 1, 'XibCR14_2': 2, 'XibCR14_2.p1': 2, 'Biasp': 1, 'XibCR14_2.p2': 2, 'CR14_2': 1};3;0.0935672514619883;3;8;8
single_ended_current_mirror_LG_nmos_cr15_1_star.gpickle;17;14;{'Xiota': 4, 'Xiota.p1': 2, 'Vinn': 1, 'Xiota.p2': 2, 'Vinp': 1, 'Xiota.p3': 2, 'Voutn': 1, 'Xiota.p4': 2, 'single_ended_current_mirror': 1, 'XiLG_nmos': 2, 'XiLG_nmos.p1': 2, 'LG_Vbiasn': 1, 'XiLG_nmos.p2': 2, 'LG_nmos': 1, 'XibCR15_1': 1, 'XibCR15_1.p1': 2, 'CR15_1': 1};3;0.10294117647058823;3;7;7
single_ended_current_mirror_LG_nmos_cr16_1_star.gpickle;17;14;{'Xiota': 4, 'Xiota.p1': 2, 'Vinn': 1, 'Xiota.p2': 2, 'Vinp': 1, 'Xiota.p3': 2, 'Voutn': 1, 'Xiota.p4': 2, 'single_ended_current_mirror': 1, 'XiLG_nmos': 2, 'XiLG_nmos.p1': 2, 'LG_Vbiasn': 1, 'XiLG_nmos.p2': 2, 'LG_nmos': 1, 'XibCR16_1': 1, 'XibCR16_1.p1': 2, 'CR16_1': 1};3;0.10294117647058823;3;7;7
single_ended_current_mirror_LG_nmos_cr2_2_star.gpickle;19;16;{'Xiota': 4, 'Xiota.p1': 2, 'Vinn': 1, 'Xiota.p2': 2, 'Vinp': 1, 'Xiota.p3': 2, 'Voutn': 1, 'Xiota.p4': 2, 'single_ended_current_mirror': 1, 'XiLG_nmos': 2, 'XiLG_nmos.p1': 2, 'LG_Vbiasn': 1, 'XiLG_nmos.p2': 2, 'LG_nmos': 1, 'XibCR2_2_wilson': 2, 'XibCR2_2_wilson.p1': 2, 'Biasp': 1, 'XibCR2_2_wilson.p2': 2, 'CR2_2_wilson': 1};3;0.0935672514619883;3;8;8
single_ended_current_mirror_LG_nmos_cr3_2_star.gpickle;19;16;{'Xiota': 4, 'Xiota.p1': 2, 'Vinn': 1, 'Xiota.p2': 2, 'Vinp': 1, 'Xiota.p3': 2, 'Voutn': 1, 'Xiota.p4': 2, 'single_ended_current_mirror': 1, 'XiLG_nmos': 2, 'XiLG_nmos.p1': 2, 'LG_Vbiasn': 1, 'XiLG_nmos.p2': 2, 'LG_nmos': 1, 'XibCR3_2': 2, 'XibCR3_2.p1': 2, 'Biasp': 1, 'XibCR3_2.p2': 2, 'CR3_2': 1};3;0.0935672514619883;3;8;8
single_ended_current_mirror_LG_nmos_cr4_2_star.gpickle;19;16;{'Xiota': 4, 'Xiota.p1': 2, 'Vinn': 1, 'Xiota.p2': 2, 'Vinp': 1, 'Xiota.p3': 2, 'Voutn': 1, 'Xiota.p4': 2, 'single_ended_current_mirror': 1, 'XiLG_nmos': 2, 'XiLG_nmos.p1': 2, 'LG_Vbiasn': 1, 'XiLG_nmos.p2': 2, 'LG_nmos': 1, 'XibCR4_2': 2, 'XibCR4_2.p1': 2, 'Biasp': 1, 'XibCR4_2.p2': 2, 'CR4_2': 1};3;0.0935672514619883;3;8;8
single_ended_current_mirror_LG_nmos_cr5_2_star.gpickle;19;16;{'Xiota': 4, 'Xiota.p1': 2, 'Vinn': 1, 'Xiota.p2': 2, 'Vinp': 1, 'Xiota.p3': 2, 'Voutn': 1, 'Xiota.p4': 2, 'single_ended_current_mirror': 1, 'XiLG_nmos': 2, 'XiLG_nmos.p1': 2, 'LG_Vbiasn': 1, 'XiLG_nmos.p2': 2, 'LG_nmos': 1, 'XibCR5_2': 2, 'XibCR5_2.p1': 2, 'Biasp': 1, 'XibCR5_2.p2': 2, 'CR5_2': 1};3;0.0935672514619883;3;8;8
single_ended_current_mirror_LG_nmos_cr6_3_star.gpickle;21;18;{'Xiota': 4, 'Xiota.p1': 2, 'Vinn': 1, 'Xiota.p2': 2, 'Vinp': 1, 'Xiota.p3': 2, 'Voutn': 1, 'Xiota.p4': 2, 'single_ended_current_mirror': 1, 'XiLG_nmos': 2, 'XiLG_nmos.p1': 2, 'LG_Vbiasn': 1, 'XiLG_nmos.p2': 2, 'LG_nmos': 1, 'XibCR6_3': 3, 'XibCR6_3.p1': 2, 'Biasn2': 1, 'XibCR6_3.p2': 2, 'Biasp': 1, 'XibCR6_3.p3': 2, 'CR6_3': 1};3;0.08571428571428572;3;9;9
single_ended_current_mirror_LG_npmos_cr11_1_star.gpickle;19;16;{'Xiota': 4, 'Xiota.p1': 2, 'Vinn': 1, 'Xiota.p2': 2, 'Vinp': 1, 'Xiota.p3': 2, 'Voutn': 1, 'Xiota.p4': 2, 'single_ended_current_mirror': 1, 'XiLG_npmos': 3, 'XiLG_npmos.p1': 2, 'LG_Vbiasn': 1, 'XiLG_npmos.p2': 2, 'LG_Vbiasp': 1, 'XiLG_npmos.p3': 2, 'LG_npmos': 1, 'XibCR11_1': 1, 'XibCR11_1.p1': 2, 'CR11_1': 1};3;0.0935672514619883;3;8;8
single_ended_current_mirror_LG_npmos_cr12_1_star.gpickle;19;16;{'Xiota': 4, 'Xiota.p1': 2, 'Vinn': 1, 'Xiota.p2': 2, 'Vinp': 1, 'Xiota.p3': 2, 'Voutn': 1, 'Xiota.p4': 2, 'single_ended_current_mirror': 1, 'XiLG_npmos': 3, 'XiLG_npmos.p1': 2, 'LG_Vbiasn': 1, 'XiLG_npmos.p2': 2, 'LG_Vbiasp': 1, 'XiLG_npmos.p3': 2, 'LG_npmos': 1, 'XibCR12_1': 1, 'XibCR12_1.p1': 2, 'CR12_1': 1};3;0.0935672514619883;3;8;8
single_ended_current_mirror_LG_npmos_cr13_1_star.gpickle;21;18;{'Xiota': 4, 'Xiota.p1': 2, 'Vinn': 1, 'Xiota.p2': 2, 'Vinp': 1, 'Xiota.p3': 2, 'Voutn': 1, 'Xiota.p4': 2, 'single_ended_current_mirror': 1, 'XiLG_npmos': 3, 'XiLG_npmos.p1': 2, 'LG_Vbiasn': 1, 'XiLG_npmos.p2': 2, 'LG_Vbiasp': 1, 'XiLG_npmos.p3': 2, 'LG_npmos': 1, 'XibCR13_2': 2, 'XibCR13_2.p1': 2, 'Vbiasp': 1, 'XibCR13_2.p2': 2, 'CR13_2': 1};3;0.08571428571428572;3;9;9
single_ended_current_mirror_LG_npmos_cr13_2_star.gpickle;21;18;{'Xiota': 4, 'Xiota.p1': 2, 'Vinn': 1, 'Xiota.p2': 2, 'Vinp': 1, 'Xiota.p3': 2, 'Voutn': 1, 'Xiota.p4': 2, 'single_ended_current_mirror': 1, 'XiLG_npmos': 3, 'XiLG_npmos.p1': 2, 'LG_Vbiasn': 1, 'XiLG_npmos.p2': 2, 'LG_Vbiasp': 1, 'XiLG_npmos.p3': 2, 'LG_npmos': 1, 'XibCR13_2': 2, 'XibCR13_2.p1': 2, 'Vbiasp': 1, 'XibCR13_2.p2': 2, 'CR13_2': 1};3;0.08571428571428572;3;9;9
single_ended_current_mirror_LG_npmos_cr14_2_star.gpickle;21;18;{'Xiota': 4, 'Xiota.p1': 2, 'Vinn': 1, 'Xiota.p2': 2, 'Vinp': 1, 'Xiota.p3': 2, 'Voutn': 1, 'Xiota.p4': 2, 'single_ended_current_mirror': 1, 'XiLG_npmos': 3, 'XiLG_npmos.p1': 2, 'LG_Vbiasn': 1, 'XiLG_npmos.p2': 2, 'LG_Vbiasp': 1, 'XiLG_npmos.p3': 2, 'LG_npmos': 1, 'XibCR14_2': 2, 'XibCR14_2.p1': 2, 'Vbiasp': 1, 'XibCR14_2.p2': 2, 'CR14_2': 1};3;0.08571428571428572;3;9;9
single_ended_current_mirror_LG_npmos_cr1_1_star.gpickle;19;16;{'Xiota': 4, 'Xiota.p1': 2, 'Vinn': 1, 'Xiota.p2': 2, 'Vinp': 1, 'Xiota.p3': 2, 'Voutn': 1, 'Xiota.p4': 2, 'single_ended_current_mirror': 1, 'XiLG_npmos': 3, 'XiLG_npmos.p1': 2, 'LG_Vbiasn': 1, 'XiLG_npmos.p2': 2, 'LG_Vbiasp': 1, 'XiLG_npmos.p3': 2, 'LG_npmos': 1, 'XibCR1_1': 1, 'XibCR1_1.p1': 2, 'CR1_1': 1};3;0.0935672514619883;3;8;8
single_ended_current_mirror_LG_npmos_cr2_2_star.gpickle;21;18;{'Xiota': 4, 'Xiota.p1': 2, 'Vinn': 1, 'Xiota.p2': 2, 'Vinp': 1, 'Xiota.p3': 2, 'Voutn': 1, 'Xiota.p4': 2, 'single_ended_current_mirror': 1, 'XiLG_npmos': 3, 'XiLG_npmos.p1': 2, 'LG_Vbiasn': 1, 'XiLG_npmos.p2': 2, 'LG_Vbiasp': 1, 'XiLG_npmos.p3': 2, 'LG_npmos': 1, 'XibCR2_2_wilson': 2, 'XibCR2_2_wilson.p1': 2, 'Vbiasp': 1, 'XibCR2_2_wilson.p2': 2, 'CR2_2_wilson': 1};3;0.08571428571428572;3;9;9
single_ended_current_mirror_LG_npmos_cr3_2_star.gpickle;21;18;{'Xiota': 4, 'Xiota.p1': 2, 'Vinn': 1, 'Xiota.p2': 2, 'Vinp': 1, 'Xiota.p3': 2, 'Voutn': 1, 'Xiota.p4': 2, 'single_ended_current_mirror': 1, 'XiLG_npmos': 3, 'XiLG_npmos.p1': 2, 'LG_Vbiasn': 1, 'XiLG_npmos.p2': 2, 'LG_Vbiasp': 1, 'XiLG_npmos.p3': 2, 'LG_npmos': 1, 'XibCR3_2': 2, 'XibCR3_2.p1': 2, 'Vbiasp': 1, 'XibCR3_2.p2': 2, 'CR3_2': 1};3;0.08571428571428572;3;9;9
single_ended_current_mirror_LG_npmos_cr4_2_star.gpickle;21;18;{'Xiota': 4, 'Xiota.p1': 2, 'Vinn': 1, 'Xiota.p2': 2, 'Vinp': 1, 'Xiota.p3': 2, 'Voutn': 1, 'Xiota.p4': 2, 'single_ended_current_mirror': 1, 'XiLG_npmos': 3, 'XiLG_npmos.p1': 2, 'LG_Vbiasn': 1, 'XiLG_npmos.p2': 2, 'LG_Vbiasp': 1, 'XiLG_npmos.p3': 2, 'LG_npmos': 1, 'XibCR4_2': 2, 'XibCR4_2.p1': 2, 'Vbiasp': 1, 'XibCR4_2.p2': 2, 'CR4_2': 1};3;0.08571428571428572;3;9;9
single_ended_current_mirror_LG_npmos_cr5_2_star.gpickle;21;18;{'Xiota': 4, 'Xiota.p1': 2, 'Vinn': 1, 'Xiota.p2': 2, 'Vinp': 1, 'Xiota.p3': 2, 'Voutn': 1, 'Xiota.p4': 2, 'single_ended_current_mirror': 1, 'XiLG_npmos': 3, 'XiLG_npmos.p1': 2, 'LG_Vbiasn': 1, 'XiLG_npmos.p2': 2, 'LG_Vbiasp': 1, 'XiLG_npmos.p3': 2, 'LG_npmos': 1, 'XibCR5_2': 2, 'XibCR5_2.p1': 2, 'Vbiasp': 1, 'XibCR5_2.p2': 2, 'CR5_2': 1};3;0.08571428571428572;3;9;9
single_ended_current_mirror_LG_npmos_cr7_1_star.gpickle;19;16;{'Xiota': 4, 'Xiota.p1': 2, 'Vinn': 1, 'Xiota.p2': 2, 'Vinp': 1, 'Xiota.p3': 2, 'Voutn': 1, 'Xiota.p4': 2, 'single_ended_current_mirror': 1, 'XiLG_npmos': 3, 'XiLG_npmos.p1': 2, 'LG_Vbiasn': 1, 'XiLG_npmos.p2': 2, 'LG_Vbiasp': 1, 'XiLG_npmos.p3': 2, 'LG_npmos': 1, 'XibCR7_1': 1, 'XibCR7_1.p1': 2, 'CR7_1': 1};3;0.0935672514619883;3;8;8
single_ended_current_mirror_LG_npmos_cr9_1_star.gpickle;19;16;{'Xiota': 4, 'Xiota.p1': 2, 'Vinn': 1, 'Xiota.p2': 2, 'Vinp': 1, 'Xiota.p3': 2, 'Voutn': 1, 'Xiota.p4': 2, 'single_ended_current_mirror': 1, 'XiLG_npmos': 3, 'XiLG_npmos.p1': 2, 'LG_Vbiasn': 1, 'XiLG_npmos.p2': 2, 'LG_Vbiasp': 1, 'XiLG_npmos.p3': 2, 'LG_npmos': 1, 'XibCR9_1': 1, 'XibCR9_1.p1': 2, 'CR9_1': 1};3;0.0935672514619883;3;8;8
