;num_nodes;num_edges;average_shortest_path_length;density;net_to_component_ratio;pin_to_component_ratio;avg_connections_per_net;num_nodes_subcircuit;num_nodes_pin;num_nodes_net;num_nodes_component;num_components_R;num_components_C;num_components_V;num_components_M;num_components_D;num_components_Q;num_components_I;num_components_L
;;;;;;;;;;;;;;;;;;;
mean;93,27300613;112,6298569;5,200408998;0,038198764;1,111611388;3,3277131;3,291437775;1,367075665;56,31492843;18,18609407;17,40490798;6,934560327;6,077709611;1,386503067;0,765848671;0,983640082;0,082822086;0,159509202;1,014314928
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
# Global component class frequencies;;;;;;;;;;;;;;;;;;;
component_type;count;relative_frequency_percent;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
R;6782;39,84255669;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
C;5944;34,91951592;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
V;1356;7,966161438;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
L;992;5,827752321;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
D;962;5,651509811;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
M;749;4,400187992;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
I;156;0,91646105;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Q;81;0,475854776;;;;;;;;;;;;;;;;;
